,normalized-losses,wheel-base,length,width,height,curb-weight,engine-size,bore,price
91,150.0,99.1,186.6,66.5,56.1,2658.0,121.0,3.54,11850.0
92,104.0,99.1,186.6,66.5,56.1,2695.0,121.0,3.54,12170.0
93,150.0,99.1,186.6,66.5,56.1,2707.0,121.0,2.54,15040.0
94,104.0,99.1,186.6,66.5,56.1,2758.0,121.0,3.54,15510.0
95,150.0,99.1,186.6,66.5,56.1,2808.0,121.0,3.54,18150.0
96,104.0,99.1,186.6,66.5,56.1,2847.0,121.0,3.54,18620.0
97,83.0,93.7,156.9,63.4,53.7,2050.0,97.0,3.62,5118.0
98,83.0,93.7,157.9,63.6,53.7,2120.0,108.0,3.62,7053.0
99,83.0,93.3,157.3,63.8,55.7,2240.0,108.0,3.62,7603.0
100,102.0,97.2,172.0,65.4,52.5,2145.0,108.0,3.62,7126.0
101,102.0,97.2,172.0,65.4,52.5,2190.0,108.0,3.62,7775.0
102,102.0,97.2,172.0,65.4,52.5,2340.0,108.0,3.62,9960.0
103,102.0,97.0,172.0,65.4,54.3,2385.0,108.0,3.62,9233.0
104,102.0,97.0,172.0,65.4,54.3,2510.0,108.0,3.62,11259.0
105,89.0,97.0,173.5,65.4,53.0,2290.0,108.0,3.62,7463.0
106,89.0,97.0,173.5,65.4,53.0,2455.0,108.0,3.62,10198.0
107,85.0,96.9,173.6,65.4,54.9,2420.0,108.0,3.62,8013.0
108,85.0,96.9,173.6,65.4,54.9,2650.0,108.0,3.62,11694.0
109,87.0,95.7,158.7,63.6,54.5,1985.0,92.0,3.05,5348.0
110,87.0,95.7,158.7,63.6,54.5,2040.0,92.0,3.05,6338.0
111,74.0,95.7,158.7,63.6,54.5,2015.0,92.0,3.05,6488.0
112,77.0,95.7,169.7,63.6,59.1,2280.0,92.0,3.05,6918.0
113,81.0,95.7,169.7,63.6,59.1,2290.0,92.0,3.05,7898.0
114,91.0,95.7,169.7,63.6,59.1,3110.0,92.0,3.05,8778.0
115,91.0,95.7,166.3,64.4,53.0,2081.0,98.0,3.19,6938.0
116,91.0,95.7,166.3,64.4,52.8,2109.0,98.0,3.19,7198.0
117,91.0,95.7,166.3,64.4,53.0,2275.0,110.0,3.27,7898.0
118,91.0,95.7,166.3,64.4,52.8,2275.0,110.0,3.27,7788.0
119,91.0,95.7,166.3,64.4,53.0,2094.0,98.0,3.19,7738.0
120,91.0,95.7,166.3,64.4,52.8,2122.0,98.0,3.19,8358.0
121,91.0,95.7,166.3,64.4,52.8,2140.0,98.0,3.19,9258.0
122,168.0,94.5,168.7,64.0,52.6,2169.0,98.0,3.19,8058.0
123,168.0,94.5,168.7,64.0,52.6,2204.0,98.0,3.19,8238.0
124,168.0,94.5,168.7,64.0,52.6,2265.0,98.0,3.24,9298.0
125,168.0,94.5,168.7,64.0,52.6,2300.0,98.0,3.24,9538.0
126,134.0,98.4,176.2,65.6,52.0,2540.0,146.0,3.62,8449.0
127,134.0,98.4,176.2,65.6,52.0,2536.0,146.0,3.62,9639.0
128,134.0,98.4,176.2,65.6,52.0,2551.0,146.0,3.62,9989.0
129,134.0,98.4,176.2,65.6,52.0,2679.0,146.0,3.62,11199.0
130,134.0,98.4,176.2,65.6,52.0,2714.0,146.0,3.62,11549.0
131,134.0,98.4,176.2,65.6,53.0,2975.0,146.0,3.62,17669.0
132,65.0,102.4,175.6,66.5,54.9,2326.0,122.0,3.31,8948.0
133,65.0,102.4,175.6,66.5,54.9,2480.0,110.0,3.27,10698.0
134,65.0,102.4,175.6,66.5,53.9,2414.0,122.0,3.31,9988.0
135,65.0,102.4,175.6,66.5,54.9,2414.0,122.0,3.31,10898.0
136,65.0,102.4,175.6,66.5,53.9,2458.0,122.0,3.31,11248.0
137,197.0,102.9,183.5,67.7,52.0,2976.0,171.0,3.27,16558.0
138,197.0,102.9,183.5,67.7,52.0,3016.0,171.0,3.27,15998.0
139,90.0,104.5,187.8,66.5,54.1,3131.0,171.0,3.27,15690.0
140,122.0,97.3,171.7,65.5,55.7,2261.0,97.0,3.01,7775.0
141,122.0,97.3,171.7,65.5,55.7,2209.0,109.0,3.19,7975.0
142,94.0,97.3,171.7,65.5,55.7,2264.0,97.0,3.01,7995.0
143,94.0,97.3,171.7,65.5,55.7,2212.0,109.0,3.19,8195.0
144,94.0,97.3,171.7,65.5,55.7,2275.0,109.0,3.19,8495.0
145,94.0,97.3,171.7,65.5,55.7,2319.0,97.0,3.01,9495.0
146,94.0,97.3,171.7,65.5,55.7,2300.0,109.0,3.19,9995.0
147,256.0,94.5,165.7,64.0,51.4,2221.0,109.0,3.19,9980.0
148,103.0,104.3,188.8,67.2,56.2,2912.0,141.0,3.78,12940.0
149,74.0,104.3,188.8,67.2,57.5,3034.0,141.0,3.78,13415.0
150,103.0,104.3,188.8,67.2,56.2,2935.0,141.0,3.78,15985.0
151,74.0,104.3,188.8,67.2,57.5,3042.0,141.0,3.78,16515.0
152,103.0,104.3,188.8,67.2,56.2,3045.0,130.0,3.62,18420.0
153,74.0,104.3,188.8,67.2,57.5,3157.0,130.0,3.62,18950.0
154,95.0,109.1,188.8,68.9,55.5,2952.0,141.0,3.78,16845.0
155,95.0,109.1,188.8,68.8,55.5,3049.0,141.0,3.78,19045.0
156,95.0,109.1,188.8,68.9,55.5,3012.0,173.0,3.58,21485.0
157,95.0,109.1,188.8,68.9,55.5,3217.0,145.0,3.01,22470.0
158,95.0,109.1,188.8,68.9,55.5,3062.0,141.0,3.78,22625.0
