,Engine_size,Horsepower,RPM,Engine_revolutions_per_mile,Fuel_tank_capacity,Rear_seat_room,Weight,class
51,4.6,210.0,4600.0,1840.0,20.0,31.5,4055.0,36.1
52,1.6,82.0,5000.0,2370.0,13.2,27.0,2325.0,8.3
53,1.8,103.0,5500.0,2220.0,14.5,26.5,2440.0,11.6
54,2.5,164.0,5600.0,2505.0,15.5,29.5,2970.0,16.5
55,3.0,155.0,5000.0,2240.0,19.6,27.5,3735.0,19.1
56,1.3,255.0,6500.0,2325.0,20.0,,2895.0,32.5
57,2.3,130.0,5100.0,2425.0,14.5,26.0,2920.0,31.9
58,3.2,217.0,5500.0,2220.0,18.5,27.0,3525.0,61.9
59,1.6,100.0,5750.0,2475.0,11.1,19.0,2450.0,14.1
60,3.8,140.0,3800.0,1730.0,18.0,28.0,3610.0,14.9
61,1.5,92.0,6000.0,2505.0,13.2,26.0,2295.0,10.3
62,3.0,202.0,6000.0,2210.0,19.0,27.5,3730.0,26.1
63,1.6,110.0,6000.0,2435.0,13.2,26.0,2545.0,11.8
64,2.4,150.0,5600.0,2130.0,15.9,28.5,3050.0,15.7
65,3.0,151.0,4800.0,2065.0,20.0,27.0,4100.0,19.1
66,3.0,160.0,5200.0,2045.0,18.5,28.5,3200.0,21.5
67,2.3,155.0,6000.0,2380.0,15.2,28.0,2910.0,13.5
68,2.2,110.0,5200.0,2565.0,16.5,28.0,2890.0,16.3
69,3.8,170.0,4800.0,1690.0,20.0,30.5,3715.0,19.5
70,3.8,170.0,4800.0,1570.0,18.0,31.5,3470.0,20.7
71,1.8,92.0,5000.0,2360.0,15.9,24.5,2640.0,14.4
72,1.6,74.0,5600.0,3130.0,13.2,25.5,2350.0,9.0
73,2.0,110.0,5200.0,2665.0,15.2,25.0,2575.0,11.1
74,3.4,160.0,4600.0,1805.0,15.5,25.0,3240.0,17.7
75,3.4,200.0,5000.0,1890.0,16.5,28.5,3450.0,18.5
76,3.8,170.0,4800.0,1565.0,18.0,30.5,3495.0,24.4
77,2.1,140.0,6000.0,2910.0,18.0,26.5,2775.0,28.7
78,1.9,85.0,5000.0,2145.0,12.8,26.5,2495.0,11.1
79,1.2,73.0,5600.0,2875.0,9.2,23.5,2045.0,8.4
80,1.8,90.0,5200.0,3375.0,15.9,27.5,2490.0,10.9
81,2.2,130.0,5600.0,2330.0,15.9,27.0,3085.0,19.5
82,1.3,70.0,6000.0,3360.0,10.6,27.5,1965.0,8.6
83,1.5,82.0,5200.0,3505.0,11.9,24.0,2055.0,9.8
84,2.2,135.0,5400.0,2405.0,15.9,23.0,2950.0,18.4
85,2.2,130.0,5400.0,2340.0,18.5,28.5,3030.0,18.2
86,2.4,138.0,5000.0,2515.0,19.8,35.0,3785.0,22.7
87,1.8,81.0,5500.0,2550.0,12.4,26.0,2240.0,9.1
88,2.5,109.0,4500.0,2915.0,21.1,34.0,3960.0,19.7
89,2.0,134.0,5800.0,2685.0,18.5,31.5,2985.0,20.0
90,2.8,178.0,5800.0,2385.0,18.5,26.0,2810.0,23.3
91,2.3,114.0,5400.0,2215.0,15.8,29.5,2985.0,22.7
92,2.4,168.0,6200.0,2310.0,19.3,30.0,3245.0,26.7
