,latitude,longitude,admission_rate,undergrad_size,percent_white,percent_black,percent_hispanic,percent_part_time,average_cost_academic_year,average_cost_program_year,tuition_(instate),tuition_(out_of_state),spend_per_student,faculty_salary,percent_part_time_faculty,completion_rate,faminc,percent_pell_grant
49,34.2007,-86.1695,,2161.0,0.8242,0.0551,0.0689,0.2883,9622.0,,4260.0,7590.0,3589.0,4693.0,0.2986,,20478.02,0.5743
50,30.6951,-88.1819,0.8604,11048.0,0.6374,0.22899999999999998,0.0246,0.2076,17125.0,,6948.0,13596.0,10325.0,7212.0,0.6418,0.3342,45401.94,0.3743
51,30.6948,-88.1382,0.4627,1269.0,0.6643,0.1608,0.0875,0.0504,43325.0,,30924.0,30924.0,6999.0,6057.0,0.597,0.5632,78659.44,0.3328
52,33.3789,-86.749,0.9615,160.0,0.625,0.2938,0.0313,0.1875,19127.0,,11370.0,11370.0,4314.0,4577.0,1.0,0.1935,50567.09,0.6089
53,33.1992,-87.5852,0.43,863.0,0.0626,0.9224,0.0104,0.0637,24744.0,,15901.0,15901.0,4330.0,4743.0,1.0,0.2619,35064.97,0.7429
54,33.4343,-86.1137,,894.0,0.0391,0.8949,0.0257,0.0503,18758.0,,11492.0,11492.0,6876.0,5063.0,0.8182,0.8240000000000001,26845.86,0.9663
55,32.3501,-86.3431,,1262.0,0.4263,0.5523,0.0048,0.4374,9955.0,,3288.0,5952.0,8051.0,6058.0,0.6636,,15384.12,0.6097
56,31.8001,-85.9502,0.6821,16208.0,0.4908,0.3672,0.0297,0.43799999999999994,16877.0,,7276.0,13612.0,5260.0,5996.0,0.4007,0.3466,38308.15,0.4758
57,32.431,-85.7103,0.3511,2584.0,0.0019,0.7752,0.0019,0.0449,32853.0,,18900.0,18900.0,13235.0,6679.0,0.9685,0.4384,51894.99,0.6453
58,30.6393,-87.9116,,80.0,0.2125,0.1125,0.0875,0.825,,,,,3428.0,5755.0,0.2258,,38529.48,0.4701
59,33.8358,-87.265,,3212.0,0.8032,0.1541,0.013999999999999999,0.4384,13443.0,,4230.0,7560.0,6162.0,6153.0,0.3519,,18707.51,0.5844
60,61.1896,-149.8261,,13116.0,0.5759,0.0361,0.0735,0.4516,13180.0,,5147.0,15206.0,9844.0,8471.0,0.8852,0.2547,52227.99,0.2473
61,62.113,-145.5262,,26.0,0.8846,0.0,0.0385,0.1923,13380.0,,9200.0,9200.0,14539.0,2500.0,,,,0.2182
62,64.8571,-147.8248,,5729.0,0.4486,0.0229,0.0504,0.3795,15035.0,,4984.0,15560.0,16400.0,8842.0,0.9141,0.309,49787.78,0.2349
63,58.3843,-134.6363,,1488.0,0.4751,0.0081,0.0551,0.4899,16409.0,,5693.0,16269.0,11626.0,8027.0,0.912,0.1389,47284.57,0.1834
64,61.1912,-149.8042,0.3745,340.0,0.5441,0.0294,0.0353,0.3853,42925.0,,29810.0,29810.0,10753.0,5137.0,1.0,0.3902,65433.53,0.2791
65,60.1107,-149.4446,0.4888,1347.0,0.5702,0.0171,0.0364,0.7765,,,,,21543.0,6256.0,1.0,,31946.82,0.1163
66,61.1958,-149.8402,,2191.0,0.429,0.0374,0.3241,0.0,21163.0,,19882.0,19882.0,6073.0,3949.0,0.2115,0.3534,47041.46,0.6598
67,61.1224,-146.178,,134.0,0.3657,0.0,0.0672,0.6493,12434.0,,4448.0,4448.0,9474.0,7202.0,0.8889,,52227.99,0.2092
68,61.1814,-149.857,,335.0,0.4,0.1164,0.0806,0.0,,17095.0,,,1894.0,3359.0,0.3714,,29519.52,0.6181
69,33.580999999999996,-112.1138,,2761.0,0.389,0.3158,0.1268,0.4611,25089.0,,12960.0,12960.0,8489.0,7411.0,,0.3175,27843.76,0.8264
70,33.4033,-111.9865,,254.0,0.3465,0.0827,0.1614,0.18899999999999997,,,,,5313.0,4869.0,,0.3773,46288.69,0.7475
71,33.6026,-111.9764,,43.0,0.6047,0.0698,0.1628,0.2093,,15718.0,,,11911.0,,,,42591.96,0.6598
72,32.2357,-110.9272,,175.0,0.2343,0.1029,0.5657,0.2,,17171.0,,,6749.0,,,,35337.45,0.7843
73,33.6209,-112.1809,,2.0,1.0,0.0,0.0,1.0,,,,,53366.0,10953.0,0.6027,,36890.28,0.0
74,33.5777,-112.0922,,77.0,0.0649,0.1169,0.1948,0.1169,20601.0,,12000.0,12000.0,6669.0,1954.0,1.0,0.5,18945.46,0.7945
75,33.4423,-112.1753,,278.0,0.5144,0.24100000000000002,0.1331,0.0,,21896.0,,,3061.0,,,,27750.39,0.4933
76,33.5608,-112.1155,1.0,676.0,0.2618,0.0784,0.5429,0.0,,24417.0,,,2326.0,3613.0,0.5357,0.6443,26386.56,0.7255
77,33.393,-111.8553,1.0,691.0,0.4486,0.0463,0.3343,0.09699999999999999,,26492.0,,,4729.0,4133.0,0.24,,,0.7296
78,32.2709,-110.978,1.0,440.0,0.2614,0.0364,0.6136,0.0068,,24529.0,,,2549.0,3036.0,0.4211,,,0.6507
79,35.2112,-111.6048,,209.0,0.2727,0.0144,0.1053,0.0,26842.0,,17211.0,17211.0,3013.0,3960.0,0.5833,0.4667,24087.91,0.8431
80,32.2373,-110.8723,,47.0,0.38299999999999995,0.0213,0.4894,0.0,,16550.0,,,3599.0,,,,20300.36,0.575
81,33.5372,-112.1573,,505.0,0.3723,0.1129,0.3149,0.0,,32627.0,,,5391.0,,,,29790.69,0.7742
82,33.5254,-112.1501,,828.0,0.3249,0.2077,0.2512,0.0,,29302.0,,,8116.0,4757.0,0.3235,0.4664,14933.38,0.6609
83,33.4219,-111.94,0.8023,38480.0,0.5755,0.0398,0.1853,0.0943,21960.0,,9861.0,23654.0,9080.0,10405.0,0.8787,0.5947,63334.02,0.3376
84,32.6893,-114.49600000000001,,7442.0,0.1892,0.0325,0.6517,0.6318,14337.0,,2420.0,7895.0,5028.0,9023.0,0.3008,,26208.62,0.5803
85,32.2321,-110.9508,0.7692,31399.0,0.5464,0.0333,0.2444,0.099,23905.0,,10391.0,27383.0,11382.0,10320.0,0.7478,0.6139,68621.67,0.3265
86,32.2524,-110.9273,,216.0,0.5324,0.0648,0.287,0.4167,49519.0,,34541.0,34541.0,3390.0,3141.0,0.5652,0.8333,45547.82,0.5308
87,33.624,-111.9255,,226.0,0.6637,0.0531,0.1858,0.4292,,15900.0,,,5643.0,,,,67168.39,0.5724
88,32.9571,-111.6525,,5462.0,0.4713,0.0751,0.2697,0.6335,9205.0,,2310.0,10260.0,5725.0,6164.0,1.0,,27253.57,0.4644
89,32.2367,-110.8951,,684.0,0.3596,0.1228,0.4137,0.0,24344.0,,13194.0,13194.0,2554.0,4926.0,0.0667,0.1622,23479.05,0.8355
90,34.4753,-114.3281,,83.0,0.7952,0.0843,0.1205,0.0,,13838.0,,,1485.0,,,,28904.91,0.6291
91,31.3658,-109.6904,,3787.0,0.4212,0.0562,0.4423,0.5862,9792.0,,1752.0,6000.0,2803.0,6249.0,0.2638,,24856.53,0.308
92,35.1972,-111.6259,,53.0,0.4906,0.0,0.1698,0.0,,17217.0,,,6952.0,,,,37036.77,0.7474
93,33.3476,-111.8604,,113.0,0.3009,0.2655,0.3009,0.2389,,16135.0,,,7486.0,,,,37036.77,0.7113
94,32.219,-110.8568,,143.0,0.5664,0.049,0.3427,0.3287,,21809.0,,,3937.0,,,,36873.99,0.7105
95,33.3766,-111.8583,,273.0,0.5238,0.1062,0.2784,0.3516,,14520.0,,,4143.0,,,,41184.3,0.7927
96,32.8407,-109.7617,,4812.0,0.6025,0.0426,0.1989,0.6002,11649.0,,1760.0,8360.0,5140.0,8016.0,0.2569,,21329.83,0.1975
97,34.6157,-112.4523,0.7898,1802.0,0.6016,0.0172,0.0755,0.0638,45228.0,,31034.0,31034.0,18433.0,8387.0,0.7018,0.5915,71628.0,0.2884
98,33.6072,-111.8465,,2.0,0.5,0.0,0.0,0.0,,,,,10874.0,4214.0,,,,0.3333
99,33.5675,-112.1883,,16623.0,0.4524,0.0771,0.3214,0.6083,12043.0,,1974.0,7758.0,4521.0,6221.0,1.0,,32731.83,0.3814
100,33.5122,-112.1299,0.5479999999999999,34643.0,0.4427,0.2075,0.1452,0.7698,31613.0,,17000.0,17000.0,2806.0,5473.0,0.1175,0.3036,60552.1,0.5262
101,33.4943,-112.0502,,2238.0,0.4303,0.26899999999999996,0.1649,0.0,32523.0,,13775.0,13775.0,993.0,3848.0,0.4938,0.7996,31704.68,0.7791
102,33.393,-111.8627,,210.0,0.3667,0.1571,0.3857,0.0,,19268.0,,,4397.0,,,,40640.54,0.7182
103,33.6082,-112.1189,,93.0,0.5376,0.0215,0.3656,0.0,,22094.0,,,4722.0,3568.0,,,31595.27,0.5151
104,33.4495,-111.9965,,5653.0,0.3807,0.1206,0.3004,0.772,12673.0,,1974.0,7758.0,5675.0,8648.0,1.0,,27560.57,0.3374
105,33.3913,-111.8715,,20120.0,0.5103,0.0702,0.2252,0.6501,12744.0,,1974.0,7758.0,4626.0,6779.0,0.9944,,37065.38,0.3726
106,32.2973,-110.9975,0.9703,409.0,0.4034,0.0538,0.3716,0.2543,26194.0,,18048.0,18048.0,3261.0,5163.0,0.1111,0.2182,34164.1,0.7304
107,33.3804,-111.9692,0.9796,498.0,0.4518,0.1044,0.2309,0.2129,26194.0,,18048.0,18048.0,3235.0,5549.0,0.1143,0.25,35544.17,0.68
108,35.2707,-114.0302,,4759.0,0.7375,0.0116,0.1769,0.713,15718.0,,2040.0,7656.0,3518.0,6105.0,0.2067,,22776.49,0.4772
109,33.6844,-112.1213,,2049.0,0.7213,0.0351,0.0918,0.0,,23695.0,,,3371.0,,,,53860.48,0.4818
110,36.3276,-109.2947,,1402.0,0.0036,0.0,0.0007,0.3552,11396.0,,805.0,805.0,7478.0,5200.0,1.0,0.0205,19224.02,0.8223
111,35.1801,-111.6577,0.9137,22011.0,0.628,0.0325,0.1925,0.1561,22771.0,,9738.0,22093.0,6893.0,7863.0,0.6172,0.4924,61101.19,0.3778
112,34.9222,-110.1316,,1641.0,0.46799999999999997,0.0055,0.0713,0.7313,13342.0,,1606.0,7390.0,5745.0,5997.0,0.9740000000000001,,19027.83,0.2942
113,33.5779,-112.1134,,335.0,0.3881,0.0955,0.1373,0.9940000000000001,,,,,1951.0,5768.0,0.9286,,55721.97,0.5982
114,33.4814,-112.0883,,10234.0,0.2753,0.1256,0.4205,0.6956,12521.0,,1974.0,7758.0,4864.0,8904.0,1.0,,26251.7,0.4733
115,33.4666,-111.9084,,87.0,0.5977,0.046,0.1494,0.4483,,17863.0,,,7446.0,,,,42795.35,0.5497
116,33.4123,-111.9802,,3044.0,0.3292,0.0818,0.1961,0.0,24167.0,,11320.0,11320.0,1898.0,2795.0,0.0705,0.1568,47023.93,0.5242
117,32.2268,-110.9852,,26600.0,0.4269,0.0468,0.4159,0.608,7367.0,,1724.0,8048.0,3615.0,7131.0,0.2763,,27255.1,0.3268
118,32.2504,-110.9213,,1726.0,0.4334,0.0603,0.3917,0.0,,20448.0,,,2523.0,5056.0,0.4466,0.6189,30371.87,0.4898
119,35.1055,-106.5947,,930.0,0.2398,0.0204,0.5161,0.0,,21205.0,,,2789.0,2524.0,0.4247,,30371.87,0.6183
120,34.5445,-112.4765,0.7293,540.0,0.7296,0.0148,0.0574,0.187,40206.0,,29732.0,29732.0,6669.0,4248.0,0.6932,0.3768,48368.15,0.4547
121,33.4487,-111.9894,,621.0,0.4267,0.0741,0.2512,0.0,,22226.0,,,2393.0,3493.0,0.9259,,34320.79,0.6453
122,33.4131,-111.9752,,10217.0,0.5498,0.1313,0.1929,0.8054,11811.0,,1974.0,7758.0,2104.0,9254.0,1.0,,32381.52,0.2559
123,33.4547,-112.0864,,39.0,0.8462,0.0,0.0769,0.0,,20340.0,,,5276.0,,,,54942.93,0.4667
124,32.8353,-109.7277,,64.0,0.5469,0.0313,0.3438,0.0,,9389.0,,,3962.0,,,,10423.93,0.5870000000000001
125,33.5095,-111.8873,,7687.0,0.607,0.0485,0.1578,0.6065,12970.0,,1974.0,7758.0,6026.0,8926.0,1.0,,40995.19,0.2196
126,33.381,-112.0575,,3980.0,0.1279,0.2015,0.4462,0.6518,12343.0,,1974.0,7758.0,5557.0,8758.0,1.0,,23201.31,0.5049
127,33.5951,-112.0262,0.6076,491.0,0.5906,0.0509,0.1426,0.0794,34444.0,,21832.0,21832.0,5656.0,4617.0,0.2051,0.4737,55267.87,0.32799999999999996
128,32.2218,-110.8835,,284.0,0.331,0.0493,0.4965,0.0,,23058.0,,,3553.0,,,,18282.41,0.5714
129,33.4535,-112.2897,,2337.0,0.5019,0.0282,0.2383,0.0,,25295.0,,,3181.0,4711.0,,,60610.72,0.4808
130,33.6007,-112.1184,,1369.0,0.4894,0.1534,0.1512,0.0,26118.0,,6000.0,6000.0,2651.0,7758.0,0.018000000000000002,0.1883,38340.73,0.3861
131,33.5381,-112.1182,,172.0,0.2791,0.2151,0.3895,0.2442,,17239.0,,,7914.0,,,,24627.62,0.8056
132,34.5475,-112.4542,,6072.0,0.6559999999999999,0.011000000000000001,0.1178,0.6374,12610.0,,1872.0,7920.0,5673.0,6481.0,0.5256,,24240.99,0.3145
133,34.7266,-92.3418,0.5274,8504.0,0.5514,0.2656,0.0623,0.3813,19894.0,,7094.0,16871.0,7292.0,7480.0,1.0,0.2438,37463.78,0.4027
134,34.7497,-92.3209,,755.0,0.7589,0.1325,0.0397,0.2543,,,,,60962.0,7805.0,0.8875,,50812.81,0.363
135,34.1223,-93.0816,,32.0,0.625,0.3438,0.0,0.1563,,9935.0,,,12167.0,,,,22511.45,0.9605
136,34.7348,-92.2906,,1022.0,0.0656,0.9247,0.0049,0.1566,20024.0,,8040.0,8040.0,3475.0,4233.0,0.6721,0.1588,16994.69,0.7107
137,34.6691,-92.3348,,37.0,0.0541,0.9459,0.0,0.2703,,14237.0,,,5980.0,,,,11685.52,1.0
138,35.2786,-93.1352,,46.0,0.9129999999999999,0.0217,0.0435,0.0435,,12603.0,,,4001.0,,,,,0.9231
139,35.7789,-91.6281,0.5898,570.0,0.7737,0.0421,0.0509,0.0158,33355.0,,23594.0,23594.0,11002.0,6354.0,0.7069,0.4965,61878.9,0.4617
140,34.7536,-92.2663,,134.0,0.0522,0.9478,0.0,0.0522,,20360.0,,,2860.0,,,,15363.52,0.6629
141,35.38,-94.411,,50.0,0.54,0.16,0.08,0.0,,13997.0,,,7849.0,,,,16909.63,0.7746
142,36.0615,-94.1782,0.5858,20776.0,0.7874,0.0492,0.0644,0.1117,19917.0,,7818.0,19074.0,8349.0,8902.0,0.8663,0.601,68151.74,0.2427
143,34.2422,-92.0213,0.27699999999999997,2503.0,0.0416,0.9301,0.012,0.0811,15414.0,,5938.0,11638.0,7154.0,5341.0,0.8326,0.2583,30961.41,0.6986
144,35.0745,-91.8962,,3217.0,0.8399,0.0472,0.0438,0.3196,11558.0,,2099.0,3949.0,4110.0,5083.0,0.498,,33648.72,0.3155
145,35.8428,-90.6805,0.7551,9325.0,0.7302,0.1466,0.0203,0.1896,18809.0,,7510.0,13120.0,5002.0,6957.0,0.743,0.3698,38618.99,0.4618
146,35.2952,-93.1323,0.8503,8734.0,0.7901,0.0781,0.0503,0.1922,16126.0,,5598.0,10374.0,4550.0,6096.0,1.0,0.4025,42912.59,0.4559
147,33.5898,-91.81299999999999,,3024.0,0.5893,0.336,0.0344,0.1832,16255.0,,5793.0,11590.0,6830.0,7922.0,1.0,0.2804,33516.39,0.6473
148,34.8918,-92.1023,,64.0,0.7969,0.1563,0.0156,0.0,,13640.0,,,8627.0,,,,24660.03,0.679
149,34.7131,-92.4069,0.8615,918.0,0.7669,0.171,0.0174,0.1264,18846.0,,7804.0,7804.0,5666.0,,,,24059.5,0.5978
150,36.2398,-90.95100000000001,,1894.0,0.9335,0.0338,0.0185,0.2603,11401.0,,2520.0,5208.0,3776.0,4485.0,0.5175,,26962.27,0.6406
151,35.0782,-92.4593,0.8997,9261.0,0.6656,0.1867,0.0361,0.1106,17899.0,,7595.0,13340.0,6851.0,6434.0,0.7542,0.4203,53694.68,0.3937
152,35.0846,-92.4441,0.5407,769.0,0.7035,0.2211,0.0221,0.1573,20386.0,,13350.0,13350.0,5075.0,4948.0,0.4028,0.3874,53036.83,0.4531
153,34.0434,-94.3673,,1129.0,0.6785,0.1107,0.1585,0.4314,11753.0,,2212.0,5062.0,5770.0,4802.0,0.4524,,20059.08,0.3819
154,36.0662,-90.5848,,153.0,0.9216,0.0523,0.0196,0.0654,18790.0,,10900.0,10900.0,3001.0,3401.0,0.5667,0.2931,48331.34,0.4429
155,35.0419,-90.7678,,286.0,0.3392,0.6294,0.006999999999999999,0.0979,8644.0,,1350.0,1350.0,6783.0,,,,15907.15,0.7814
156,35.0397,-90.7674,,922.0,0.5043,0.4599,0.0174,0.3482,8767.0,,2520.0,3270.0,5340.0,5208.0,1.0,,20636.06,0.41600000000000004
157,34.7511,-92.3412,,302.0,0.1821,0.7815,0.0364,0.0,,14929.0,,,1403.0,,,,20785.89,0.8886
158,34.7913,-92.2213,,482.0,0.6971,0.222,0.0456,0.2012,,19884.0,,,3636.0,,,,14455.81,0.5097
159,34.5127,-93.1171,,2445.0,0.7979999999999999,0.1141,0.0573,0.3967,13836.0,,3020.0,4490.0,5763.0,4629.0,0.9806,,22966.6,0.6033
160,35.7929,-91.6161,,1090.0,0.8468,0.0367,0.0514,0.2853,7631.0,,2166.0,3942.0,5691.0,4392.0,0.4706,,27369.1,0.6327
161,35.2496,-91.729,0.7628,4428.0,0.8347,0.0379,0.0294,0.0729,25475.0,,16170.0,16170.0,9503.0,7082.0,0.7364,0.6219,83726.71,0.2631
162,34.1278,-93.0603,0.6221,3190.0,0.6583,0.2367,0.0348,0.0984,18033.0,,7580.0,13700.0,6124.0,5606.0,1.0,0.2854,44544.81,0.5296
163,35.0997,-92.44200000000001,0.8039,1428.0,0.7143,0.0448,0.0469,0.0042,50172.0,,37816.0,37816.0,12018.0,7233.0,0.6778,0.6959,100605.48,0.1792
164,34.4963,-93.0384,,43.0,0.9302,0.0465,0.0233,0.0,,13708.0,,,3390.0,,,,24341.08,0.5616
165,34.1878,-92.01799999999999,,76.0,0.8421,0.1447,0.0132,0.0,,,,,5103.0,,,,31562.98,0.6471
166,36.1911,-94.5591,0.6982,1770.0,0.8017,0.0209,0.0525,0.1124,33326.0,,22734.0,22734.0,7040.0,6425.0,0.9766,0.6537,65047.55,0.3184
167,34.782,-92.2967,,27.0,0.7778,0.1111,0.1111,0.0,,15084.0,,,6191.0,,,,21726.35,0.6486
168,36.1676,-94.1318,,364.0,0.7033,0.0549,0.2088,0.3736,,17711.0,,,1692.0,,,,17378.17,0.4813
169,36.3447,-92.38600000000001,,15.0,1.0,0.0,0.0,0.0,,10740.0,,,3252.0,,,,13383.48,0.9583
170,35.3809,-94.4163,,75.0,0.7867,0.0133,0.08,0.0,,19282.0,,,2472.0,,,,18008.35,0.6746
171,35.1457,-90.2229,,1263.0,0.3721,0.5574,0.0016,0.4719,13105.0,,2458.0,7498.0,6971.0,4275.0,1.0,,19257.51,0.5818
172,35.8974,-89.9225,,1141.0,0.6512,0.2717,0.0473,0.4619,12538.0,,1954.0,3634.0,9522.0,4849.0,0.7647,,21510.07,0.5018
173,33.6292,-91.7887,,65.0,0.5846,0.3077,0.0769,0.0,,14690.0,,,4510.0,,,,15020.59,0.9634
