,cars_per_hour,temperature_at_2m,wind_direction,no2_concentration
63,5.50533,3.4,186.0,3.37417
64,8.06778,3.9,43.5,4.13035
65,7.76345,9.2,199.0,4.35927
66,8.25713,11.0,216.0,4.27667
67,5.57595,-3.5,62.3,2.69463
68,7.93487,9.7,255.5,4.04655
69,6.32972,1.5,275.0,3.91202
70,4.83628,2.0,63.1,3.19458
71,7.78322,3.7,40.5,4.01998
72,7.67276,-7.1,53.1,3.2068
73,8.22013,2.0,82.0,3.8111
74,7.53155,-0.7,179.3,3.87536
75,7.83992,1.0,81.7,4.43438
76,5.0626,2.4,216.0,2.85647
77,8.17245,4.2,214.0,4.2312
78,8.24905,0.8,215.0,4.11087
79,6.53088,0.5,83.0,3.48124
80,8.18702,-4.0,245.9,4.10099
81,7.81682,-3.6,43.4,3.32504
82,7.62462,3.8,283.1,4.75014
83,7.23634,5.0,62.0,2.62467
84,7.98718,-1.6,227.0,3.99268
85,7.41156,3.3,197.2,3.95316
86,7.91681,-9.1,21.0,3.89589
87,7.84463,-0.1,174.0,5.115
88,4.68213,-7.6,66.2,2.11626
89,8.21311,1.1,213.9,3.71113
90,6.1506,-0.6,337.0,4.3399
91,6.29342,5.6,98.0,2.00148
92,5.8944,-1.0,164.0,4.2312
93,6.57088,5.5,89.0,3.96651
94,8.3163,6.3,265.0,4.14155
95,7.83003,9.5,110.7,4.21065
96,8.26178,1.0,248.0,4.54223
97,5.47227,-3.8,76.7,3.9279
98,6.53088,-4.2,64.3,2.93916
99,7.0775,4.9,229.0,2.5177
100,4.77912,-3.7,311.0,3.39786
101,5.7462,-6.4,82.0,3.19458
102,4.77912,-1.0,291.0,3.82864
103,5.47646,-1.0,5.8,1.335
104,7.87131,5.9,85.0,4.44852
105,7.19519,-2.5,66.3,3.71601
106,4.89035,-4.1,45.1,1.79176
107,7.82724,-10.1,70.8,4.75617
108,5.71043,-2.1,211.0,3.88773
109,4.80402,2.8,80.0,2.95491
110,7.93164,14.2,209.1,4.31482
111,8.17527,-3.9,52.4,4.12066
112,5.76205,0.1,145.0,3.37759
113,7.02909,-16.2,73.0,3.99083
114,7.62217,-3.4,213.0,4.11087
115,7.17396,-7.0,49.0,3.01062
116,7.5475,-8.0,289.0,4.10759
117,5.52943,-1.5,3.0,2.54945
118,5.86079,6.5,49.0,1.50408
119,7.32778,-4.9,359.0,3.57235
120,8.1778,-4.2,86.0,4.56331
121,7.73237,-5.2,91.0,4.38577
122,6.79571,-4.0,56.9,3.44042
123,6.06146,-4.7,44.8,1.72277
124,7.6353,9.5,226.6,4.29729
125,7.04925,2.3,225.0,3.35341
126,7.67879,4.1,297.1,4.3386
127,6.93925,4.2,238.0,2.99072
128,6.3315,-5.1,251.6,4.237
129,8.26256,3.8,161.0,4.5819
130,7.91498,-3.5,222.0,4.17285
131,6.39024,2.0,177.0,3.56105
132,6.34036,-4.1,60.6,3.16548
133,7.91206,-5.2,76.0,4.39198
134,7.96728,9.8,44.0,3.01062
135,7.83637,8.9,296.0,4.40672
136,8.21203,2.9,73.0,4.29729
137,5.44674,1.6,220.9,2.64617
138,7.66763,0.6,42.1,3.84588
139,7.59337,-7.5,59.7,4.62399
140,6.52649,-0.3,68.9,3.68888
141,8.31899,1.6,209.9,3.79098
142,7.32712,9.3,214.1,3.96081
143,7.25276,1.1,78.9,4.51196
144,7.9848,-8.8,48.0,3.82647
145,6.64509,-6.8,145.8,4.58802
146,7.05531,11.2,302.8,3.02529
147,7.80344,4.9,189.0,3.66356
148,7.61283,20.3,278.9,3.48431
149,7.67555,6.8,249.0,2.55723
150,8.19589,-4.2,247.2,4.83787
151,8.13124,4.1,58.1,4.30271
152,6.92756,1.8,207.0,3.25424
153,7.52348,3.4,191.0,3.85862
154,7.0076,-3.4,76.0,4.21656
155,8.19616,-4.1,270.5,4.08261
156,4.81218,-6.4,75.9,2.5337
157,7.61431,0.9,107.0,3.61092
158,7.94058,4.3,64.0,3.45947
159,7.4378,2.1,205.0,3.23475
160,8.01334,1.2,245.0,3.84802
161,4.54329,6.5,80.0,3.23868
162,7.97488,-1.6,34.5,4.23555
163,7.23634,1.2,64.3,2.87356
164,8.25192,0.0,77.0,4.41764
165,7.57147,8.4,108.0,4.14155
166,6.74993,-2.8,231.8,3.14845
167,4.56435,-3.9,76.8,2.4248
168,6.95559,-7.5,236.0,4.02535
169,7.5974,0.3,113.3,4.21656
170,5.88888,9.0,151.6,3.46574
171,5.64191,4.6,229.0,2.83321
172,6.4151,3.6,68.2,2.44235
173,7.85941,1.3,227.0,4.16667
174,5.86363,-0.6,142.0,4.22244
175,7.82285,3.4,8.0,4.60717
176,5.50533,1.5,156.0,1.62924
177,8.19864,2.4,186.0,4.3
178,6.12249,4.5,196.0,2.73437
179,7.98071,-11.6,78.8,4.89933
180,7.9179,2.7,212.0,4.07414
181,7.71423,-2.1,39.9,4.02356
182,7.95893,-1.7,40.8,4.25135
183,7.61628,5.1,192.0,3.65325
184,5.17615,-2.7,219.0,4.26549
185,7.29029,10.8,85.5,4.47506
186,7.82084,18.1,244.0,3.16969
187,6.87316,5.6,191.0,2.80336
188,7.96207,7.3,317.0,3.69387
189,6.92166,6.4,71.0,3.88568
190,7.6834,3.6,74.0,4.35414
191,7.21008,-1.8,2.0,4.4128
192,4.84419,7.7,81.8,3.08649
193,8.19589,-3.2,211.7,4.37827
194,6.86485,0.8,231.5,3.87536
195,7.79194,8.0,207.6,4.05352
196,5.77144,-0.4,240.4,4.19117
197,8.21906,11.6,231.4,3.10459
198,7.71244,-9.9,78.0,4.19117
199,7.86019,-4.9,243.1,4.25561
200,6.8977,-1.4,72.0,3.18221
201,7.18992,7.0,159.0,2.72785
202,7.79975,-0.8,80.0,4.28496
203,5.54126,-1.4,212.0,3.09558
204,7.94201,-4.2,240.0,4.39198
205,5.20401,6.7,80.5,3.24649
206,7.42536,1.1,273.1,4.27528
207,6.64379,-5.7,74.2,2.78501
208,7.83003,6.4,30.4,3.79549
209,5.17615,-1.7,183.1,4.15261
210,6.53669,-0.8,70.6,4.07244
211,7.64588,5.0,243.2,4.36055
212,7.61825,8.4,133.1,3.07269
213,4.62497,-9.6,73.0,2.79728
214,7.46851,-3.5,165.1,3.59731
215,7.74803,-4.1,85.0,4.55703
216,7.52726,-6.4,60.5,4.70863
217,7.88758,-5.0,47.2,4.3108
218,6.80351,-9.3,73.0,3.59182
219,7.80098,8.5,203.2,4.14472
220,7.96346,3.6,268.0,3.02042
221,6.91473,4.8,199.0,3.17388
222,7.80262,-4.6,81.0,4.30676
223,7.51152,0.4,89.8,3.81551
224,7.47022,10.8,262.0,2.83908
225,5.273,-13.8,79.0,3.83945
226,8.14989,5.4,234.0,3.85651
227,6.61607,0.1,122.3,4.2485
228,6.47851,4.3,218.0,2.96527
229,7.5974,2.6,233.0,4.53045
230,7.17319,-6.0,65.5,3.21487
231,4.91998,6.0,72.0,3.12676
232,7.23129,8.0,207.9,3.50255
233,7.56631,-5.5,65.1,4.51196
234,7.65728,2.5,60.8,3.3673
235,6.65028,-3.7,325.6,4.42963
236,8.08887,15.1,240.7,4.03954
237,5.93754,-7.8,111.7,4.1463
238,5.43372,7.0,27.5,1.97408
239,7.77317,2.2,211.7,3.76584
240,6.39359,-5.8,73.7,4.01638
241,7.85516,6.5,69.0,3.09104
242,7.33433,-14.7,212.0,4.07073
243,7.64826,4.8,229.0,3.94158
244,7.662,3.4,23.0,3.43076
245,7.72533,-2.3,61.9,3.627
246,7.46107,-2.8,243.0,3.87743
247,6.2106,5.9,248.0,3.05871
248,7.61481,6.9,178.0,3.91202
249,5.43808,-0.9,96.0,3.96651
250,7.43248,-10.3,61.6,4.28496
251,5.20949,-12.9,219.5,4.17746
252,6.75809,-4.7,262.9,4.26549
253,6.58203,2.2,64.2,4.01096
254,5.82305,4.6,203.0,3.15274
255,8.12415,5.2,209.0,4.1957
256,4.7362,2.9,80.0,3.5293
257,7.89283,-3.8,75.3,4.38701
258,7.99564,12.2,234.0,2.93386
259,4.92725,4.4,82.0,3.26576
260,5.15329,3.1,179.0,2.83321
261,7.78239,4.8,41.1,4.13357
262,7.70841,2.1,79.0,3.80444
263,8.23854,-1.7,58.2,4.1239
264,7.82844,3.6,87.7,4.75359
265,7.68386,0.6,58.2,4.40305
266,7.70075,11.5,216.0,2.71469
267,5.2575,4.0,218.0,2.8792
268,7.97728,4.9,194.0,3.3499
269,5.42935,-7.7,352.0,4.12713
270,7.27586,-7.2,85.0,4.49647
271,7.5761,-5.5,82.0,3.84802
272,7.82164,16.1,259.3,3.42426
273,8.17611,-2.0,222.5,4.07244
274,8.14148,-2.8,79.0,4.33336
275,7.53636,-2.2,250.0,4.26127
276,8.16934,-1.5,83.0,5.23644
277,8.08672,-13.6,77.0,4.07414
278,7.06647,0.2,90.0,4.20469
279,7.71065,15.8,136.4,3.54385
280,5.61313,-4.4,74.0,3.81331
281,8.05261,8.0,280.1,3.17388
282,7.46566,6.4,264.3,4.22244
283,7.78738,7.5,220.0,3.87743
284,7.96555,1.1,78.0,4.00186
285,5.99645,8.6,82.0,3.2308
286,8.27053,-5.1,248.3,4.09268
287,4.90527,-8.9,78.1,3.13549
288,5.97635,-9.7,67.7,4.20767
289,7.64826,-4.1,85.3,4.237
290,7.02554,-1.6,222.2,3.31419
291,7.62071,-0.8,61.4,4.18662
292,5.69373,2.0,76.0,3.81331
293,7.74414,-1.3,59.0,4.14472
294,6.40688,-4.1,146.8,2.87356
295,7.8808,-6.9,158.0,5.02651
296,5.11199,-4.4,55.0,1.70475
297,7.17855,4.9,76.2,2.8792
298,5.09987,5.8,78.0,3.72086
299,4.45435,-2.8,67.0,3.36038
300,7.6516,7.2,248.0,3.8111
301,5.75257,-7.4,293.0,3.91602
302,6.54965,-9.2,78.8,3.72569
303,7.26543,-1.7,114.0,5.13049
304,8.19699,-10.6,81.1,4.90602
305,5.07517,-4.8,103.7,3.72569
306,8.03948,4.9,338.0,3.35341
307,8.1371,6.4,246.6,4.31348
308,6.85435,1.2,65.9,2.41591
309,7.51915,3.0,44.1,4.50424
310,4.5326,-6.5,77.5,2.36085
311,4.85981,-6.3,73.0,3.48431
312,7.55538,-4.2,59.0,4.08429
313,6.31355,-13.5,82.5,5.37389
314,6.31536,-10.4,62.3,4.16044
315,7.52618,-5.5,75.0,3.88156
316,7.74803,6.1,180.0,4.08092
317,6.93049,2.6,193.0,3.23868
318,4.76217,1.7,112.5,4.17131
319,7.70481,-0.2,220.0,5.58237
320,5.68698,11.0,286.6,2.4248
321,7.63916,-10.2,58.6,4.3108
322,7.67508,3.2,249.0,4.32678
323,5.3033,-0.6,76.0,2.5096
324,7.15696,3.3,90.0,4.38203
325,7.98582,-2.3,77.0,3.71601
326,7.97384,7.4,165.0,4.2032
327,7.74544,2.2,56.6,4.31749
328,5.50939,-1.4,88.0,3.30689
329,5.70044,2.7,185.0,4.01818
330,5.6204,6.2,70.9,3.27714
331,7.02909,4.5,75.5,3.27336
332,7.93057,-8.2,50.4,3.92197
333,7.59488,4.9,77.0,4.06044
334,7.23346,-2.2,62.9,2.99573
335,7.60639,5.5,54.9,4.07923
336,7.85671,6.3,77.0,4.17285
337,7.59085,7.5,238.0,4.09101
338,4.86753,2.1,217.0,2.77882
339,8.20303,3.5,51.9,4.2485
340,5.90808,-8.1,48.5,2.59525
341,5.40268,1.3,68.4,3.13549
342,6.55393,3.7,241.0,3.06805
343,8.00001,4.3,215.0,4.10594
344,7.42476,-3.2,78.9,3.2068
345,7.44366,-4.5,47.9,4.10099
346,7.58426,10.5,214.5,3.69883
347,7.7878,0.0,82.0,3.28466
348,7.99934,4.8,194.0,3.7495
349,7.08841,0.7,295.0,3.81551
350,7.12125,5.7,65.4,3.97218
351,8.05769,2.3,152.0,4.92435
352,7.76853,21.1,285.1,2.89037
353,7.04141,-0.7,73.0,3.79549
354,5.96871,11.1,153.2,2.5416
355,6.81892,7.2,58.5,2.4248
356,8.18228,4.1,177.0,4.32546
357,7.21671,-0.8,56.1,3.32504
358,7.78489,0.7,219.9,3.97406
359,4.67283,-14.3,257.4,5.32933
360,4.31749,1.7,75.0,1.74047
361,8.16138,-2.2,69.0,4.50092
362,8.22604,-5.6,87.0,4.3412
363,7.80221,2.5,135.0,3.79098
364,7.17089,-5.3,69.4,3.83945
365,7.88833,3.8,34.9,4.50314
366,7.65776,3.0,265.0,4.36691
367,7.40428,-1.9,43.1,3.7013
368,7.6857,1.8,269.0,4.75875
369,8.08364,-7.0,242.3,4.56954
370,6.16331,-3.7,30.9,1.22378
371,7.57302,-4.6,87.2,6.39509
372,7.02376,-13.6,82.1,4.24133
373,7.97281,6.3,81.0,4.57883
374,5.81413,-9.1,79.0,3.93769
375,6.608,7.2,191.4,3.92986
376,7.35628,4.4,76.6,3.33577
377,7.30586,15.4,279.2,2.95491
378,5.11199,0.7,48.0,3.55535
379,5.56834,4.8,220.0,2.69463
380,6.56386,-1.2,192.9,4.32678
381,7.84189,0.4,279.0,4.88129
382,7.67555,-3.1,82.1,4.56539
383,8.31066,11.3,200.3,4.20916
384,5.52545,-5.8,70.0,3.21888
385,5.54908,5.5,75.1,2.65324
386,8.06401,3.6,9.4,4.34251
387,5.09987,6.7,183.8,3.64545
388,5.49306,7.1,255.0,1.54756
389,7.7411,-5.7,85.4,4.18205
390,8.3464,20.8,230.0,4.14946
391,7.91206,1.2,219.0,3.80444
392,7.60937,-0.1,74.3,4.07923
393,6.76734,-6.8,76.3,3.14845
394,7.61727,-4.2,217.8,4.24276
395,5.80212,2.2,299.0,2.61007
396,4.55388,2.5,195.5,3.19458
397,7.57763,-0.2,85.0,3.81331
398,8.06746,19.6,244.4,3.77046
399,5.66643,1.3,226.8,2.76632
400,5.49717,4.2,254.0,3.21084
401,8.07527,3.4,10.5,3.37417
402,8.02027,-5.2,17.0,3.72086
403,7.6024,-3.9,76.0,4.76217
404,8.25635,8.4,225.0,4.01458
405,7.24708,-10.6,62.5,4.30407
406,7.93272,-3.9,78.4,3.17805
407,4.39445,1.3,115.0,1.36098
408,7.66856,-2.9,65.3,4.40916
409,7.26613,0.9,90.0,4.02892
410,7.70616,2.1,44.4,2.89037
411,8.11851,0.6,74.6,3.88156
412,7.75319,-5.6,238.8,4.51852
413,7.65207,-4.5,100.0,4.01096
414,7.66011,6.4,90.8,3.74242
415,7.59035,11.7,235.0,3.71601
416,6.70564,-5.6,75.5,2.85071
417,8.17132,-5.6,79.0,4.51305
418,7.76217,12.2,221.0,3.99452
419,7.22621,-6.5,52.0,2.40695
420,7.53423,1.6,336.0,3.91202
421,7.49165,-9.5,77.3,4.45899
422,7.83953,11.5,243.6,3.78872
423,7.61874,-12.6,81.0,3.92197
424,7.82724,17.8,254.1,3.16969
425,7.59589,-2.7,159.1,4.46245
426,4.81218,2.7,204.2,2.92852
427,7.87284,1.7,97.0,5.78105
428,5.65948,-5.1,46.5,1.28093
429,8.04206,6.2,261.0,4.09101
430,7.15774,-1.1,65.0,3.62966
431,6.24417,2.7,196.9,3.37759
432,8.14206,-5.1,237.0,5.54713
433,4.49981,3.9,68.0,2.63906
434,6.57508,6.2,226.0,3.99268
435,4.64439,-3.3,88.0,3.66099
436,4.98361,-5.6,78.0,2.82731
437,7.72356,-5.1,216.6,4.29592
438,7.76132,0.0,147.7,4.94876
439,6.18002,8.9,215.0,2.68785
440,7.21598,8.8,90.1,4.0483
441,5.50939,10.3,37.4,3.32863
442,4.99043,1.3,277.0,4.13996
443,7.04229,-5.2,73.0,3.74242
444,7.35308,2.4,77.0,4.28082
445,4.12713,2.5,213.5,2.79728
446,7.7698,6.1,237.2,3.65584
447,7.58731,2.1,354.0,4.02535
448,5.63835,-13.8,61.0,3.44042
449,7.64204,10.2,249.5,4.42485
450,5.26269,-0.9,271.0,3.94352
451,7.25205,7.1,63.0,4.21804
452,5.19296,-18.6,86.0,3.44999
453,7.31986,16.8,41.5,2.52573
454,7.68064,0.3,221.8,4.4705
455,8.1568,-0.7,57.2,4.18205
456,6.94794,-3.4,97.0,3.17388
457,7.14204,-1.6,85.0,4.62399
458,5.0626,-2.1,81.7,2.73437
459,6.13123,3.5,209.9,3.2581
460,6.85857,-4.8,86.0,3.22684
461,5.39816,0.7,208.0,2.98062
462,5.14749,-9.0,77.0,3.84374
463,8.16707,6.3,61.0,4.26127
464,6.6174,2.2,67.0,3.39786
465,7.43248,8.9,201.4,3.39451
466,7.76302,12.3,273.4,4.36437
467,5.42495,1.1,79.0,2.26176
468,7.12769,0.1,235.0,3.44042
469,7.41998,-4.6,82.0,4.12713
470,6.89163,0.1,334.0,2.98062
471,7.97247,-4.8,16.0,3.65066
472,7.75018,9.9,266.3,4.25135
473,7.42536,4.0,184.6,3.65842
474,7.63723,-5.4,72.5,3.99083
475,6.55108,-12.0,82.5,4.44147
476,4.98361,1.8,121.0,2.28238
477,6.57508,5.0,262.7,3.9279
478,7.09257,4.6,194.0,3.3569
479,7.83201,-0.2,99.7,4.18814
480,7.55329,-0.9,92.0,4.2017
481,7.23778,11.9,233.0,2.41591
482,8.20084,-9.0,84.0,4.33336
483,5.81711,1.3,33.0,1.58924
484,8.26462,7.7,69.1,4.0483
485,5.05625,-7.0,67.0,2.65324
486,7.73193,2.6,77.9,4.06732
487,5.99396,1.6,209.1,3.86283
488,7.64108,6.7,247.0,3.98155
489,7.74587,1.6,146.0,3.81331
490,5.14749,-6.5,184.0,4.31615
491,5.66643,6.7,66.1,3.33932
492,7.34923,-0.4,77.0,3.96651
493,4.45435,-13.8,80.0,3.86073
494,4.58497,1.8,59.0,2.56495
495,7.68202,3.5,78.0,4.30946
496,6.52942,9.5,210.0,2.94444
497,7.75791,5.2,214.0,4.17439
498,5.78996,8.4,108.5,2.95491
499,8.16223,4.7,207.0,4.03247
