,theta1,theta2,theta3,theta4,theta5,theta6,thetad1,thetad2,thetad3,thetad4,thetad5,thetad6,tau1,tau2,tau3,tau4,tau5,dm1,dm2,dm3,dm4,dm5,da1,da2,da3,da4,da5,db1,db2,db3,db4,db5,thetadd6
318,-0.330754,1.632445,0.971299,0.906569,1.548996,-1.96674,-2.296056,-0.055089,-2.249123,1.7666,-1.523872,0.123462,50.338332,36.348959,-33.05245,-62.520941,-39.463076,2.036224,1.824674,1.288868,0.49721,1.609555,1.539733,0.292216,1.024614,0.690228,1.154366,1.173806,1.65809,0.512383,2.363814,1.875425,0.003598
5114,-0.042039,0.309313,0.860261,0.796288,0.033646,-0.002941,-2.308922,0.477942,-1.85165,-0.059125,0.592311,-2.306459,-17.436115,51.212884,34.940756,-0.708029,-49.842823,2.000094,2.086834,1.91135,2.3182,2.492836,1.33803,1.015084,0.269399,2.295952,2.072941,2.424443,1.617846,1.386664,1.67101,1.659627,0.002457
8078,-1.034774,1.975906,0.841747,0.654376,-0.623336,-0.775325,-1.126451,2.119379,-0.546649,1.634913,0.046344,1.35702,-16.810099,72.658922,28.502221,-63.169897,3.534587,1.462143,1.236232,2.356658,0.855281,0.950924,1.931245,1.429701,0.49183,1.189726,1.482699,2.476883,0.978272,0.325475,2.002023,0.746508,0.069015
7585,-0.923328,-0.476016,1.237392,1.069024,-1.248304,-0.691342,1.358346,-1.804399,-2.317288,1.234666,-2.320458,-0.214684,47.49912,17.717886,34.516111,62.280664,51.123454,1.853269,0.387919,0.761924,2.412618,0.869781,1.664239,0.363623,1.913974,1.419554,0.950004,2.221538,2.384306,2.036008,0.437396,2.06221,-0.017925
7123,-1.19082,-0.589315,0.827024,-1.751447,1.720295,-2.217939,-1.904853,1.105834,0.083682,2.159495,-0.186216,-0.713072,-31.75948,68.415822,-35.271554,-9.008514,-56.096569,0.399584,1.065075,1.209034,1.990635,0.605428,2.422713,1.780683,2.186301,1.910358,1.383976,1.479339,2.245694,1.133788,1.820561,1.923635,-0.01133
8057,-1.661511,0.608293,-2.300839,-0.340552,1.898869,1.992004,-1.92055,1.176403,-1.372911,2.055329,2.097883,1.021896,-52.779337,37.678596,-35.843108,-15.123883,62.892914,1.243148,1.593174,0.733306,0.680475,1.49476,0.425161,1.18293,2.001639,1.052074,0.951099,0.377039,2.398163,0.92367,0.618157,0.357874,-0.006172
2515,2.173921,1.942121,-1.492767,-0.183192,-1.722903,0.805899,1.343739,-2.265419,1.207477,-2.187858,-0.56003,-1.784465,-59.064799,-2.078821,11.250973,-54.901527,70.042386,1.41061,1.37561,0.369765,1.645348,2.369836,1.83192,1.576972,0.666028,1.690773,0.822427,2.280931,1.60078,0.318384,2.087462,1.227724,-0.00813
7668,-0.176474,-1.903436,1.352462,-1.736482,-1.221366,-0.334121,1.588521,-2.130557,1.1745,-0.379702,-1.071502,2.021974,72.466765,-51.076055,14.747456,60.492445,-3.471638,1.407756,0.651946,1.257508,2.188439,1.849628,2.206694,0.411455,0.320922,1.979144,0.966639,0.556116,1.641793,1.11995,1.000026,1.436935,-0.023799
3734,-0.118512,1.514546,-1.344974,0.358591,-0.309664,-2.040591,0.555337,-1.690354,1.218133,-2.172051,1.209499,-1.200305,6.701962,-10.129149,9.391665,45.720851,-19.664869,0.513151,1.772387,2.258402,0.957377,2.384102,0.854178,0.426331,0.58975,2.184753,0.646674,0.408203,1.912457,0.660713,2.35214,1.414865,-0.052923
7283,2.147746,0.274319,1.755327,2.222892,0.334057,2.047499,-2.2536,1.929418,1.774097,1.958261,1.164294,-2.263059,-48.938216,-54.588107,-62.31765,-72.748093,-27.206541,0.469895,1.521639,2.186468,2.475051,1.680063,0.827525,2.461102,1.241777,1.04499,1.155261,0.470733,2.104578,0.8934,0.376224,2.203087,0.073948
6689,1.059948,1.718342,-2.051489,1.176433,-0.876273,-1.300575,2.009613,1.882738,-0.510084,-1.151737,1.243354,2.31591,-26.296936,-72.609604,50.391286,26.350366,70.600951,0.47785,2.482511,1.054238,1.321253,0.295569,1.120194,0.596573,2.09696,1.106695,0.97697,0.93801,0.878915,2.167593,2.490526,0.767432,-0.010657
2927,-1.221536,1.516458,-2.210649,-1.897676,-0.784142,1.474368,1.958459,-0.211886,1.39742,-0.11505,-1.562803,0.829748,51.607314,64.134181,3.173131,-69.187731,-38.201017,0.707513,1.422665,1.489574,1.017831,1.435377,1.382016,2.285063,1.303742,0.746369,1.977818,1.194692,1.691859,1.068018,1.181815,1.271598,0.042579
8139,1.511221,-0.687349,-2.216391,0.544671,-1.882599,-1.855684,-1.888478,-1.715369,0.190816,-2.090756,0.943479,-0.132635,-7.549339,18.261174,15.543474,-60.831367,7.209995,1.050921,1.823704,0.737575,0.43038,1.152227,1.221416,0.845154,1.746845,0.476303,1.228988,2.097398,1.71898,2.403121,1.003612,0.95464,-0.014898
3317,1.706282,-2.11403,0.919876,-0.997264,0.945615,-1.93144,1.937278,1.930334,-1.668944,-1.806912,-2.132127,-1.649698,39.180012,-1.545237,-20.791112,63.78647,9.196204,2.284006,1.538164,0.91976,2.409326,1.791968,0.609362,1.042844,1.084854,0.63372,0.938585,1.541225,0.61623,1.731623,1.131903,1.640583,-0.037362
6561,0.0522,0.823997,-0.790152,-0.57217,1.525353,1.21484,-0.958079,-0.199006,1.097365,-0.869686,1.011345,0.093746,52.549931,6.685633,15.4353,71.081531,67.295421,1.887012,0.519698,1.572164,0.863554,0.496437,2.112319,0.498039,2.044857,0.667829,0.454592,0.821549,1.023748,1.880516,1.579802,0.990911,-0.005335
1643,-0.365871,0.481838,-2.345092,0.451084,-0.86257,-1.913103,-0.887878,1.573889,1.703874,-0.17662,0.353312,0.50165,24.350917,65.86263,-46.780708,56.638688,26.430057,2.274535,2.110379,1.634942,0.723064,1.786323,2.486169,1.787832,0.851283,1.259987,1.094016,1.623198,1.337891,0.935863,0.795195,1.334803,-0.039872
1400,-0.55821,0.530143,-1.014836,-2.218785,-1.992758,-1.342253,-1.045343,-1.289188,0.182426,-1.726444,-2.174002,1.405306,15.485386,12.885026,-41.365679,17.028935,5.304571,2.183854,1.286337,0.70967,1.678217,1.300271,0.911129,1.344398,2.300162,0.814519,2.115015,0.802304,1.577179,1.900457,1.484428,2.279356,0.006308
1670,1.618598,-0.838953,-0.815866,0.79838,2.207104,-1.128733,1.462322,2.133727,0.265078,1.950853,-0.809152,0.542831,5.47277,30.841056,-54.37487,71.563884,74.195799,2.256906,0.577083,0.788859,0.604631,0.287015,1.360875,2.468775,1.954275,1.496511,0.607309,0.28611,1.905992,2.260877,2.068842,1.027813,0.041953
6555,-0.759638,-1.381425,0.329416,-0.567884,-1.830392,-0.916674,-1.733361,-0.613711,0.775748,-1.183965,1.513263,0.651531,-41.676179,48.454436,23.704994,9.836958,29.75337,0.848427,0.509768,1.174043,1.147431,1.617786,0.381401,1.451158,1.117314,1.690265,1.29289,0.598674,1.412808,2.306708,0.594838,2.184341,-0.002596
8090,-0.558642,-2.021935,-1.625884,0.910627,-0.933108,0.092573,0.793006,1.419963,1.774525,-0.276697,0.67979,-2.306667,21.151997,1.606661,3.156915,-41.728519,68.787358,2.261859,0.567605,1.240344,1.717893,2.133053,2.468295,0.628178,2.284855,2.30269,0.566452,2.115185,1.415353,2.329491,1.006127,0.469676,0.030734
2580,-0.989906,2.091048,-0.754803,-0.220188,-1.479737,2.052905,-0.934046,-1.541637,-1.583657,-0.954753,-0.845161,-1.472393,-55.889023,-26.808275,33.320837,73.302475,44.693239,0.763929,2.354639,0.662204,0.406449,1.692608,2.407122,0.758049,0.273713,0.55003,0.606287,1.116361,1.432732,1.931169,2.409311,1.547868,-0.006263
3169,-1.656718,1.037997,0.357222,0.246531,1.26196,-0.697713,-2.032199,0.222927,0.391282,-2.211344,0.555476,0.641662,-71.343316,32.880614,24.473289,22.571426,7.948569,0.49885,2.179428,1.140647,2.354659,1.00784,2.259787,1.740452,1.022899,1.107554,1.918259,1.431416,2.308778,1.633532,1.775096,0.533417,-0.009149
3047,-1.430305,-1.246787,1.248488,-0.933747,-1.225242,0.492098,0.444318,-1.491757,-2.045629,0.708652,2.114865,-1.017813,-13.16823,-68.444663,0.552418,-15.516124,70.511209,0.353382,0.794546,1.688836,2.019888,1.765657,1.654357,0.77002,1.223437,1.056703,2.253384,2.132402,0.530541,1.545052,1.933413,1.872845,0.011865
1894,-1.986241,-0.187656,-1.339168,-1.02627,-1.176276,-1.201493,-0.898067,-0.021945,-1.266244,-0.619137,-0.881967,1.957319,-16.730588,59.004038,30.866768,-72.230152,-22.157109,2.207032,1.582047,0.459552,0.937537,1.940399,2.291599,0.910768,2.023106,1.841201,2.308135,2.077813,1.050224,1.371564,2.121757,1.61833,0.024479
4538,-0.884613,-0.106738,1.474195,-0.93872,0.019268,-1.317317,-1.345517,0.650442,-0.767195,-1.158201,0.988318,-0.508968,-39.253826,-39.0556,-7.465296,-69.236876,35.816884,1.740664,2.33833,1.067317,0.640273,0.816741,1.214441,0.603691,2.476248,1.556455,2.330621,1.991627,1.51882,2.065502,1.140552,0.755609,0.072685
742,-0.638899,1.55704,1.271376,2.051,0.025159,-1.265372,-0.095558,0.887024,-1.787816,-1.629052,-0.497122,-0.06743,-74.081284,65.861485,-66.021837,70.986538,-29.254559,1.654295,1.986581,2.217548,0.58523,0.452727,0.982962,0.400562,1.75342,0.732726,2.169465,2.440192,0.806445,1.416983,0.483783,0.944941,-0.085173
5974,-1.57463,-0.031639,0.748888,-0.238258,1.127483,1.094662,0.815427,1.256193,1.334224,-1.96437,-0.166713,1.922745,-63.319296,42.600147,30.662667,-52.551277,-29.313623,0.264021,1.90046,1.53266,0.66386,1.24409,1.661636,1.622257,1.267563,2.42515,2.246238,1.266357,2.403817,1.44619,0.864166,1.790992,0.030288
5480,1.114498,-0.378923,-2.123363,-0.448753,2.336503,1.261267,1.797225,-0.454119,1.694783,-2.180713,1.715956,0.247722,-72.732013,-56.949097,6.521586,-41.699891,-50.07407,2.201658,1.259862,1.250847,0.493106,2.377766,2.364092,2.047973,1.286201,0.671989,0.623708,1.403271,1.778305,0.466642,0.849421,1.473259,-0.032631
3660,0.582556,-1.333508,-0.14247,-0.600155,-2.288105,1.617581,0.905907,-0.148877,0.103123,-0.976038,-0.444972,-0.089721,0.989053,-26.980113,-4.756164,13.144119,-36.79652,1.538383,2.354777,0.733607,1.224404,1.55404,2.248703,2.196639,2.414848,2.344779,1.456551,1.761186,0.746676,0.38288,1.55768,0.422074,0.013015
5879,1.856187,0.92569,-2.235265,-0.941359,-1.93872,2.108825,1.144245,0.066529,1.308922,1.616483,1.311364,0.245491,-66.621165,48.083027,-68.563299,-43.374418,6.160416,1.946706,0.283817,1.611386,0.810788,2.41981,2.492869,1.908325,0.976399,0.34582,1.943091,0.272381,0.651912,0.688463,0.740286,0.981158,-0.004596
2627,0.227587,-1.405476,1.366894,0.493684,-1.172468,1.546828,-0.714436,-0.356327,0.663302,-1.400284,-0.905456,-1.69684,18.767684,-21.534285,23.277971,32.86421,48.773388,1.139974,2.29725,1.381904,0.407767,1.347576,1.708945,2.487974,0.632989,2.139753,0.320016,0.25991,0.301323,1.079424,1.623416,0.505598,-0.011131
2941,0.480104,1.501481,0.547788,-1.329786,1.154735,2.006528,1.868386,-1.391884,-1.099157,-0.964732,1.079029,1.971586,-34.159841,-74.447244,65.172277,50.464076,49.730451,1.670278,0.617046,1.945048,1.663705,0.392074,0.839172,2.470898,1.640165,0.750454,0.878217,1.698654,0.528845,2.298558,0.870112,0.468169,-0.013861
6513,1.486644,0.939461,-1.6887,0.730309,-1.474427,1.760875,1.218059,1.2938,1.936613,0.19322,0.60729,-0.317544,69.16086,36.573336,-11.949684,11.660244,73.713981,2.288288,1.510968,0.589202,1.97296,0.539274,2.081873,1.78418,2.466934,0.260648,1.460689,1.541699,1.832604,1.816374,1.288805,1.700054,-0.002499
2142,0.819606,0.806116,0.271642,-0.824178,-2.243302,0.651928,0.652946,-1.089259,0.461972,-1.653318,1.637311,-2.065955,-51.599131,73.412303,-59.430962,-6.176022,-0.392961,1.307573,2.121733,1.220958,2.147411,0.78225,2.027579,0.511982,2.389533,2.12688,2.215174,1.178365,1.785234,2.171549,1.473656,1.241524,-0.001461
6409,0.3821,-1.032314,0.907853,-0.435448,-0.238267,0.975276,1.771117,-0.990194,1.967319,-2.107653,-0.289408,-0.888327,-40.000105,18.240671,-29.037086,73.701597,2.743594,2.298833,0.986046,0.469082,1.36909,1.038467,1.760657,0.859757,1.94195,1.347175,1.725436,0.656376,1.465676,2.109613,2.267294,1.901182,-0.067612
4995,0.788022,-2.237668,1.087035,-0.131543,-0.735529,-1.440269,0.941728,-1.286011,1.743858,-2.036233,-1.604286,1.048599,-17.132217,58.822771,-15.681297,-5.561056,-14.672535,1.355505,2.21981,0.347347,0.617671,1.195985,0.912493,1.765865,0.649879,0.268489,0.50091,0.799724,0.965699,0.499628,1.755659,2.359005,0.01065
5838,-1.978124,-0.427193,1.846798,-1.367396,0.503809,-0.639873,-0.680321,-1.901621,-1.122179,-1.483615,-1.873907,-1.864507,19.702042,-67.776056,-12.17168,30.5694,29.897789,1.257074,1.646909,1.590852,2.191007,2.262247,0.33098,2.275691,1.285408,0.846269,2.493739,0.767132,2.187508,1.940901,1.721116,2.290092,-0.021521
6781,0.677851,-1.910449,1.297333,0.053025,0.554269,-0.80161,0.062953,-2.237471,-0.30316,-1.10975,0.074144,2.071561,50.972972,52.74679,15.306325,3.409298,0.075182,2.328759,2.206203,1.148945,2.326459,1.789159,0.638814,1.048865,1.016889,1.348408,2.189081,1.38029,0.280452,1.313968,1.610656,2.043759,-0.01206
7033,-1.098422,1.959247,-1.114454,1.117795,-1.514376,-0.507744,0.475582,0.900938,1.163752,-1.940523,0.07584,2.294727,41.001024,4.207822,70.871715,-9.0893,-63.87224,2.113891,2.156876,2.363554,1.997429,2.284734,0.271014,2.428762,2.196077,1.957669,2.284454,2.319851,0.981335,2.302127,2.349799,0.328367,0.014384
1617,1.992787,1.814144,1.167862,1.148276,1.83654,0.580404,0.207942,-1.707538,-0.137524,-2.301472,-1.54861,-0.963423,-15.43248,-23.683082,58.434021,50.598375,56.881563,2.251559,0.710029,0.962917,1.004304,1.334828,1.212908,1.849023,1.026458,2.436612,1.386418,2.024893,0.372136,0.985949,1.089762,2.121972,0.004485
5493,1.440793,-1.556545,2.325943,-1.852504,-0.277958,-1.663265,-0.602838,-0.264093,0.452176,-1.35348,-1.238018,-2.167325,17.093793,45.382021,-14.368673,5.718536,-38.558168,0.668117,0.785976,1.643348,2.495752,0.853267,0.866761,0.399514,2.133629,0.90915,1.828013,1.157463,1.478855,0.858792,1.472171,1.029294,-0.004205
1871,1.943186,2.273897,-0.092459,1.121776,-0.576988,0.662335,1.207626,0.307135,1.943982,1.514427,1.355563,-1.462009,-50.405763,30.34151,-50.243193,62.65224,-3.797804,2.429735,0.559882,1.932581,1.389293,0.856096,1.156707,2.266397,0.332596,2.435671,1.324859,2.402272,2.478942,1.834975,1.169388,1.660547,-0.049281
5414,0.00395,0.408498,-0.326815,1.871862,0.479599,-2.276076,1.173156,0.604349,2.089113,-0.280323,0.993138,0.381821,-31.831005,66.292548,-21.146335,-56.452881,-53.574892,1.626945,1.305724,0.298379,1.097644,1.856882,0.358819,2.171424,1.627177,0.720947,2.208044,0.593928,0.401203,1.263391,2.053456,1.190407,0.055118
1261,1.477641,0.417906,2.294068,-0.358929,-0.669628,-1.261347,1.579596,-1.326797,-0.44851,1.72254,-2.187046,-1.044184,-21.271033,-52.249696,-60.63327,36.623786,-64.035751,1.391908,2.056961,1.589516,2.242967,0.297756,1.887455,1.209588,2.294138,0.822629,1.182208,1.121205,1.846568,0.265595,1.356965,2.015139,-0.027247
5039,-1.770786,1.849439,0.601841,2.35095,-0.963712,-0.622828,-1.649783,-0.209175,-0.163885,2.337261,-0.131042,-1.735309,-11.458008,25.264883,-23.109547,-52.164278,24.975643,2.359597,0.746601,1.370819,0.852808,2.14683,2.27529,1.293816,0.41902,1.475029,1.816069,0.669421,2.452073,2.497454,2.456738,2.137204,0.034371
3912,-1.717274,1.151386,2.27067,2.230817,1.568029,2.177224,0.895293,0.524842,-0.580261,2.196065,1.83781,-1.645094,-48.009501,-45.680778,-56.836924,-58.184714,-60.490973,1.798138,0.811856,2.35759,0.762547,1.621821,0.693314,1.27265,2.422501,0.480272,0.430439,2.133859,0.262916,1.337197,0.512954,0.723015,0.007072
4928,0.725762,2.222731,2.325521,0.483655,-0.077655,0.175783,-0.279126,2.274318,2.278275,-1.901862,-0.461304,-1.258263,50.292016,7.912054,-72.112759,0.855711,-18.062124,1.823176,0.861892,1.811945,1.113162,1.667043,2.489961,0.27183,0.388453,0.734354,0.285421,1.574036,0.822218,1.021021,1.052972,0.299428,0.010474
8098,-1.764098,1.152683,0.514961,-1.708009,1.372023,1.873987,-1.510101,0.654279,-2.244547,-1.426064,-0.649336,0.50539,-74.733691,50.854013,3.389237,-37.088328,56.478736,1.946664,1.837808,1.541464,2.384979,2.090265,1.086487,1.094186,2.239874,2.307968,1.514599,0.864779,0.832783,0.841224,0.953349,2.190154,0.010704
1550,0.75945,-1.791106,-0.386312,0.919331,-0.728427,0.113073,1.317883,1.438703,1.006432,2.333192,2.173702,-1.745784,-65.685069,31.039874,-12.832947,16.666817,69.196997,2.033946,1.777461,2.031146,1.971314,2.119944,0.398747,0.489303,1.457832,0.785035,1.591263,2.349623,1.870317,1.161771,1.893882,1.2223,-0.020429
8005,0.29252,1.354986,-1.728387,-1.833548,-2.132974,-1.750511,-1.397346,1.358342,-1.875469,0.164644,0.992186,-1.466594,46.796415,57.346312,69.47157,8.6697,61.654557,1.797128,1.834136,0.578384,2.403925,1.01659,0.823497,2.266626,1.927681,2.286564,1.775147,1.388773,1.106724,1.459519,2.130529,0.547364,0.004289
6384,-1.665143,0.82682,-0.477796,-0.408897,-1.6743,-2.280197,-2.119557,2.272238,0.307662,1.381425,-0.324695,-0.201005,15.885361,-14.738841,-65.69444,23.551411,-21.436194,1.70334,0.539835,0.255471,2.198741,1.740099,1.837445,2.184213,0.57565,1.455229,2.031254,1.543034,1.776277,2.382778,1.10456,1.089383,0.015088
7003,-1.44374,-0.840503,1.405693,2.267903,-1.875778,-0.32358,-0.303927,0.125779,-1.893327,1.608781,-0.898556,1.175369,2.766009,-11.680632,33.616658,-54.825056,5.288745,0.444143,0.715773,0.739732,0.681266,1.283518,0.585041,1.784034,2.252526,1.201344,0.989908,2.380246,1.287859,1.548247,1.633067,0.713966,-0.011939
4915,0.947583,-1.851931,-0.081322,-0.178414,-1.520606,-1.540605,1.63669,1.637053,-1.683863,1.930602,-1.876848,0.545949,23.877037,51.365388,48.076297,-31.668031,-44.604216,1.929181,0.491045,1.499968,2.460071,1.905303,1.92223,0.665374,1.937442,2.084174,2.212494,1.14148,0.609906,1.189148,0.766927,0.993616,0.007426
2894,0.401125,-1.723406,1.768061,-0.530811,-0.785824,1.480933,-0.796582,-0.263039,-0.670208,-1.573789,-0.040287,1.472573,2.143973,33.75709,55.415776,22.940025,53.006246,1.764683,1.03025,0.908494,2.053092,1.822221,0.573137,1.963103,1.375268,1.382064,0.853069,2.034706,1.047941,1.24562,0.376771,2.391794,-0.018153
5715,0.858383,2.213517,-1.726826,0.837188,-0.580297,1.591403,-0.810726,-2.348453,0.523187,-0.110251,-1.012092,1.48732,-58.545932,18.523172,68.9527,-11.978077,-15.54323,2.348909,1.121371,2.38976,1.444495,1.61843,2.203972,1.909772,0.536327,2.051456,1.326061,2.36088,2.069387,1.18831,2.43073,1.53408,0.02013
1323,0.216323,-2.220922,-0.204391,0.134487,-1.630596,1.820031,1.147373,0.795005,2.031404,0.554762,-1.93512,1.35051,-49.666903,-1.631171,34.902139,-49.750397,-54.921093,1.992734,2.129277,2.00807,1.13149,1.451362,2.286887,0.463154,0.737415,2.236153,0.518658,2.089251,2.037239,0.875366,1.02641,1.619856,-0.004378
7784,1.268341,-1.849499,-1.605591,-2.032591,-1.649067,-2.308233,-2.08777,-0.70133,-1.562145,-2.253071,1.398763,-1.10087,-47.423137,59.337787,-59.819422,64.980261,-26.754549,1.919364,1.999716,2.47305,1.806402,2.451913,2.053578,0.99237,1.007278,1.81578,0.308224,2.319955,0.485876,2.370971,0.656646,1.505555,0.008947
2495,1.603209,-0.29956,-1.866405,1.701198,1.964341,-0.311042,-1.642394,1.464539,1.706781,1.549381,-0.221284,-1.039243,72.033922,24.123147,-12.276758,64.522566,-69.225196,0.356903,1.471724,0.262892,0.918165,0.348239,2.108459,0.871919,1.586534,1.630879,2.188147,1.432646,0.473222,1.19514,2.477015,0.933718,0.033282
4237,0.454256,0.611859,1.086891,2.165479,1.426123,1.631474,-1.20613,1.262707,-2.290285,-2.031335,0.614436,1.986766,-12.999426,68.639238,-30.324763,31.716607,-38.986118,0.779638,0.880246,2.047644,0.253366,0.578621,1.891294,0.474471,1.928542,1.012525,2.263839,2.339115,0.75741,0.786142,2.190449,1.877776,-0.00959
4984,1.383464,0.953148,2.143184,-1.005902,1.85341,1.374261,1.78439,0.60428,0.941454,-1.189303,1.339894,-0.913167,20.534926,-19.501476,-11.301439,-43.291807,44.591585,2.136489,1.716017,2.10138,1.143453,2.273277,1.215711,1.697538,2.017477,1.72859,1.919549,0.601247,1.911958,1.278548,0.309318,0.464011,-0.015254
6232,2.117528,1.332145,0.79533,-1.938099,-1.59658,-1.384535,-0.096601,2.203402,-2.091686,-0.546011,-1.782268,2.078282,46.34166,64.27923,41.018283,-5.713671,-29.6641,1.907108,0.764199,2.385079,1.527204,1.214802,2.171162,1.711884,2.388539,1.181896,0.370103,0.567613,1.374668,0.300951,1.587198,1.530509,-0.010867
1452,-1.287863,-1.11832,2.1109,-1.676087,0.668659,-0.898011,0.913686,-1.350373,-0.848071,1.451593,0.883111,-1.583077,-19.76565,48.717103,-61.652201,11.454459,65.099357,1.748419,2.169249,1.072249,0.293893,2.21106,1.785398,0.437499,1.5524,1.679763,0.281606,0.458339,0.805582,0.419485,0.285982,2.007654,-0.016457
6755,-0.495849,-2.234804,2.099317,1.559219,0.201375,1.012688,-0.895357,-1.607148,0.071649,-2.166778,0.29798,-1.122723,-38.432797,-40.015336,62.239742,-36.664138,-14.167668,0.384938,2.404221,1.497054,0.742853,1.38661,0.747471,2.490244,0.52781,0.659432,1.076881,1.643477,2.415045,1.16854,0.910954,0.646455,0.031646
3806,-0.512221,0.628885,-0.215421,-1.460185,0.791475,-0.755942,-0.520337,0.889297,-1.278983,2.050552,1.919854,1.256611,-33.858974,32.227067,-9.68257,15.053139,-51.887846,1.689671,0.297376,2.244476,0.902921,0.642196,1.639055,2.348369,1.036154,1.143007,1.52304,0.988737,0.704724,1.7952,0.934728,1.981474,-0.020024
2937,-1.721736,1.566358,-2.329997,-0.299999,0.165782,1.26792,0.509121,-0.903358,0.577598,0.172857,-2.336907,1.369496,57.746135,39.290828,60.945554,-38.081728,10.403018,0.527775,2.32239,0.907584,0.260568,2.371288,1.480405,2.165566,2.162121,0.520178,0.634385,0.858711,2.362819,0.895293,0.692534,1.675745,0.029798
7375,0.810363,0.960594,0.059688,-0.562266,-1.657102,-0.696284,-1.578411,-2.31467,-1.881721,-1.238685,0.753329,-0.991834,-64.932258,-66.466915,-59.438417,18.528894,15.118429,1.306599,1.514391,1.863374,1.483666,0.726351,0.784754,1.353261,0.503828,0.342116,0.437731,0.952409,2.129968,2.381144,0.636804,1.010644,0.008946
6391,-1.384893,-1.415861,1.185412,-0.757199,1.917743,-1.240698,-0.094925,2.093386,0.835378,1.988907,-2.135018,1.595042,-29.199155,49.795213,58.152002,-39.299336,-53.942712,1.147705,1.729511,1.647868,1.976387,1.886138,1.565555,2.28349,1.86224,0.42183,1.440505,2.073562,1.605137,1.532101,0.263788,2.48212,-0.014861
