,LON,LAT,MEDV,CMEDV,CRIM,RM,AGE,DIS,B,LSTAT
51,-70.963,42.3382,20.5,20.5,0.04337,6.115,63.0,6.8147,393.97,9.43
52,-70.958,42.346,25.0,25.0,0.0536,6.511,21.1,6.8147,396.9,5.28
53,-70.978,42.3425,23.4,23.4,0.04981,5.998,21.4,6.8147,396.9,8.43
54,-71.0175,42.3715,18.9,18.9,0.0136,5.888,47.6,7.3197,396.9,14.8
55,-70.9625,42.381,35.4,35.4,0.01311,7.249,21.9,8.6966,395.93,4.81
56,-70.93,42.374,24.7,24.7,0.02055,6.383,35.7,9.1876,396.9,5.77
57,-70.9295,42.3715,31.6,31.6,0.01432,6.816,40.5,8.3248,392.9,3.95
58,-70.9385,42.346,23.3,23.3,0.15445,6.145,29.2,7.8148,390.68,6.86
59,-70.94,42.332,19.6,19.6,0.10328,5.927,47.2,6.932,396.9,9.22
60,-70.93,42.337,18.7,18.7,0.14932,5.741,66.2,7.2254,395.11,13.15
61,-70.93,42.3275,16.0,16.0,0.17171,5.966,93.4,6.8185,378.08,14.44
62,-70.9215,42.332,22.2,22.2,0.11027,6.456,67.8,7.2255,396.9,6.73
63,-70.9075,42.339,25.0,25.0,0.1265,6.762,43.4,7.9809,395.58,9.5
64,-70.86,42.345,33.0,33.0,0.01951,7.104,59.5,9.2229,393.24,8.05
65,-71.045,42.345,23.5,23.5,0.03584,6.29,17.8,6.6115,396.9,4.67
66,-71.069,42.3525,19.4,19.4,0.04379,5.787,31.1,6.6115,396.9,10.24
67,-71.09,42.3362,22.0,22.0,0.05789,5.878,21.4,6.498,396.21,8.1
68,-71.108,42.34,17.4,17.4,0.13554,5.594,36.8,6.498,396.9,13.09
69,-71.111,42.327,20.9,20.9,0.12816,5.885,33.0,6.498,396.9,8.79
70,-71.121,42.316,24.2,24.2,0.08826,6.417,6.6,5.2873,383.73,6.72
71,-71.1095,42.3008,21.7,21.7,0.15876,5.961,17.5,5.2873,376.94,9.88
72,-71.13,42.305,22.8,22.8,0.09164,6.065,7.8,5.2873,390.91,5.52
73,-71.123,42.292,23.4,23.4,0.19539,6.245,6.2,5.2873,377.17,7.54
74,-71.1105,42.289,24.1,24.1,0.07896,6.273,6.0,4.2515,394.92,6.78
75,-71.1,42.2875,21.4,21.4,0.09512,6.286,45.0,4.5026,383.23,8.94
76,-71.09,42.2835,20.0,20.0,0.10153,6.279,74.5,4.0522,373.66,11.97
77,-71.076,42.2895,20.8,20.8,0.08707,6.14,45.8,4.0905,386.96,10.27
78,-71.0905,42.295,21.2,21.2,0.05646,6.232,53.7,5.0141,386.4,12.34
79,-71.091,42.305,20.3,20.3,0.08387,5.874,36.6,4.5026,396.06,9.1
80,-71.0685,42.308,28.0,28.0,0.04113,6.727,33.5,5.4007,396.9,5.29
81,-71.069,42.315,23.9,23.9,0.04462,6.619,70.4,5.4007,395.63,7.22
82,-71.0675,42.326,24.8,24.8,0.03659,6.302,32.2,5.4007,396.9,6.72
83,-71.0575,42.317,22.9,22.9,0.03551,6.167,46.7,5.4007,390.64,7.51
84,-71.043,42.3075,23.9,23.9,0.05059,6.389,48.0,4.7794,396.9,9.62
85,-71.05,42.3,26.6,26.6,0.05735,6.63,56.1,4.4377,392.3,6.53
86,-71.033,42.305,22.5,22.5,0.05188,6.015,45.1,4.4272,395.99,12.86
87,-71.039,42.2885,22.2,22.2,0.07151,6.121,56.8,3.7476,395.15,8.44
88,-71.042,42.2796,23.6,23.6,0.0566,7.007,86.3,3.4217,396.9,5.5
89,-71.0345,42.2785,28.7,28.7,0.05302,7.079,63.1,3.4145,396.06,5.7
90,-71.03,42.272,22.6,22.6,0.04684,6.417,66.1,3.0923,392.18,8.81
91,-71.0425,42.2715,22.0,22.0,0.03932,6.405,73.9,3.0921,393.55,8.2
92,-71.053,42.283,22.9,22.9,0.04203,6.442,53.6,3.6659,395.01,8.16
93,-71.062,42.296,25.0,25.0,0.02875,6.211,28.9,3.6659,396.33,6.21
94,-71.0615,42.284,20.6,20.6,0.04294,6.249,77.3,3.615,396.9,10.59
95,-71.076,42.2775,28.4,28.4,0.12204,6.625,57.8,3.4952,357.98,6.65
96,-71.085,42.2775,21.4,21.4,0.11504,6.163,69.6,3.4952,391.83,11.34
97,-71.089,42.2715,38.7,38.7,0.12083,8.069,76.0,3.4952,396.9,4.21
98,-71.0982,42.2685,43.8,43.8,0.08187,7.82,36.9,3.4952,393.53,3.57
99,-71.08,42.268,33.2,33.2,0.0686,7.416,62.5,3.4952,396.9,6.19
100,-71.0668,42.2545,27.5,27.5,0.14866,6.727,79.9,2.7778,394.76,9.42
101,-71.081,42.245,26.5,26.5,0.11432,6.781,71.3,2.8561,395.58,7.67
102,-71.0812,42.2515,18.6,18.6,0.22876,6.405,85.4,2.7147,70.8,10.63
103,-71.077,42.249,19.3,19.3,0.21161,6.137,87.4,2.7147,394.47,13.44
104,-71.069,42.248,20.1,20.1,0.1396,6.167,90.0,2.421,392.69,12.33
105,-71.0662,42.2425,19.5,19.5,0.13262,5.851,96.7,2.1069,394.05,16.47
106,-71.0622,42.2431,19.5,19.5,0.1712,5.836,91.9,2.211,395.67,18.66
107,-71.0553,42.2465,20.4,20.4,0.13117,6.127,85.2,2.1224,387.69,14.09
108,-71.055,42.2505,19.8,19.8,0.12802,6.474,97.1,2.4329,395.24,12.27
109,-71.06,42.254,19.4,19.4,0.26363,6.229,91.2,2.5451,391.23,15.55
110,-71.056,42.2605,21.7,21.7,0.10793,6.195,54.4,2.7778,393.49,13.0
111,-71.0475,42.261,22.8,22.8,0.10084,6.715,81.6,2.6775,395.59,10.16
112,-71.049,42.253,18.8,18.8,0.12329,5.913,92.9,2.3534,394.95,16.21
113,-71.0428,42.258,18.7,18.7,0.22212,6.092,95.4,2.548,396.9,17.09
114,-71.0396,42.2512,18.5,18.5,0.14231,6.254,84.2,2.2565,388.74,10.45
115,-71.0355,42.2545,18.3,18.3,0.17134,5.928,88.2,2.4631,344.91,15.76
116,-71.036,42.2608,21.2,21.2,0.13158,6.176,72.5,2.7301,393.3,12.04
117,-71.0285,42.262,19.2,19.2,0.15098,6.021,82.6,2.7474,394.51,10.3
118,-71.0285,42.258,20.4,20.4,0.13058,5.872,73.1,2.4775,338.63,15.37
119,-71.019,42.2605,19.3,19.3,0.14476,5.731,65.2,2.7592,391.5,13.61
120,-71.0243,42.2483,22.0,22.0,0.06899,5.87,69.7,2.2577,389.15,14.37
121,-71.0312,42.2505,20.3,20.3,0.07165,6.004,84.1,2.1974,377.67,14.27
122,-71.0377,42.247,20.5,20.5,0.09299,5.961,92.9,2.0869,378.09,17.93
123,-71.037,42.2435,17.3,17.3,0.15038,5.856,97.0,1.9444,370.31,25.41
124,-71.0308,42.245,18.8,18.8,0.09849,5.879,95.8,2.0063,379.38,17.58
125,-71.0262,42.2431,21.4,21.4,0.16902,5.986,88.4,1.9929,385.02,14.81
126,-71.0333,42.2395,15.7,15.7,0.38735,5.613,95.6,1.7572,359.29,27.26
127,-71.053,42.2355,16.2,16.2,0.25915,5.693,96.0,1.7883,392.11,17.19
128,-71.058,42.235,18.0,18.0,0.32543,6.431,98.8,1.8125,396.9,15.39
129,-71.0638,42.2368,14.3,14.3,0.88125,5.637,94.7,1.9799,396.9,18.34
130,-71.0692,42.239,19.2,19.2,0.34006,6.458,98.9,2.1185,395.04,12.6
131,-71.075,42.24,19.6,19.6,1.19294,6.326,97.7,2.271,396.9,12.26
132,-71.0745,42.2405,23.0,23.0,0.59005,6.372,97.9,2.3274,385.76,11.12
133,-71.079,42.245,18.4,18.4,0.32982,5.822,95.4,2.4699,388.69,15.03
134,-71.076,42.2405,15.6,15.6,0.97617,5.757,98.4,2.346,262.76,17.31
135,-71.075,42.2362,18.1,18.1,0.55778,6.335,98.2,2.1107,394.67,16.96
136,-71.0677,42.2335,17.4,17.4,0.32264,5.942,93.5,1.9669,378.25,16.9
137,-71.063,42.2325,17.1,17.1,0.35233,6.454,98.4,1.8498,394.08,14.59
138,-71.062,42.2275,13.3,13.3,0.2498,5.857,98.2,1.6686,392.04,21.32
139,-71.0568,42.23,17.8,17.8,0.54452,6.151,97.9,1.6687,396.9,18.46
140,-71.0518,42.2312,14.0,14.0,0.2909,6.174,93.6,1.6119,388.08,24.16
141,-71.0543,42.2265,14.4,14.4,1.62864,5.019,100.0,1.4394,396.9,34.41
142,-71.048,42.2222,13.4,13.4,3.32105,5.403,100.0,1.3216,396.9,26.82
143,-71.0519,42.223,15.6,15.6,4.0974,5.468,100.0,1.4118,396.9,26.42
144,-71.051,42.2205,11.8,11.8,2.77974,4.903,97.8,1.3459,396.9,29.29
145,-71.054,42.219,13.8,13.8,2.37934,6.13,100.0,1.4191,172.91,27.8
146,-71.059,42.221,15.6,15.6,2.15505,5.628,100.0,1.5166,169.27,16.65
147,-71.0555,42.2222,14.6,14.6,2.36862,4.926,95.7,1.4608,391.71,29.53
148,-71.0567,42.224,17.8,17.8,2.33099,5.186,93.8,1.5296,356.99,28.32
149,-71.058,42.223,15.4,15.4,2.73397,5.597,94.9,1.5257,351.85,21.45
150,-71.062,42.2236,21.5,21.5,1.6566,6.122,97.3,1.618,372.8,14.1
151,-71.0622,42.2205,19.6,19.6,1.49632,5.404,100.0,1.5916,341.6,13.28
152,-71.059,42.217,15.3,15.3,1.12658,5.012,88.0,1.6102,343.28,12.12
153,-71.0645,42.215,19.4,19.4,2.14918,5.709,98.5,1.6232,261.95,15.79
154,-71.0662,42.2162,17.0,17.0,1.41385,6.129,96.0,1.7494,321.02,15.12
155,-71.068,42.215,15.6,15.6,3.53501,6.152,82.6,1.7455,88.01,15.02
156,-71.0667,42.22,13.1,13.1,2.44668,5.272,94.0,1.7364,88.63,16.14
157,-71.069,42.2285,41.3,41.3,1.22358,6.943,97.4,1.8773,363.43,4.59
158,-71.067,42.2245,24.3,24.3,1.34284,6.066,100.0,1.7573,353.89,6.43
159,-71.065,42.2223,23.3,23.3,1.42502,6.51,100.0,1.7659,364.31,7.39
160,-71.07,42.2214,27.0,27.0,1.27346,6.25,92.6,1.7984,338.92,5.5
161,-71.0735,42.2282,50.0,50.0,1.46336,7.489,90.8,1.9709,374.43,1.73
162,-71.077,42.225,50.0,50.0,1.83377,7.802,98.2,2.0407,389.61,1.92
163,-71.0815,42.225,50.0,50.0,1.51902,8.375,93.9,2.162,388.45,3.32
164,-71.0918,42.2265,22.7,22.7,2.24236,5.854,91.8,2.422,395.11,11.64
165,-71.082,42.2295,25.0,25.0,2.924,6.101,93.0,2.2834,240.16,9.81
166,-71.077,42.2305,50.0,50.0,2.01019,7.929,96.2,2.0459,369.3,3.7
167,-71.0866,42.2345,23.8,23.8,1.80028,5.877,79.2,2.4259,227.61,12.14
168,-71.074,42.2331,23.8,23.8,2.3004,6.319,96.1,2.1,297.09,11.1
169,-71.0775,42.2351,22.3,22.3,2.44953,6.402,95.2,2.2625,330.04,11.32
170,-71.081,42.2368,17.4,17.4,1.20742,5.875,94.6,2.4259,292.29,14.43
171,-71.0792,42.239,19.1,19.1,2.3139,5.88,97.3,2.3887,348.13,12.03
172,-71.087,42.2416,23.1,23.1,0.13914,5.572,88.5,2.5961,396.9,14.69
173,-71.0855,42.245,23.6,23.6,0.09178,6.416,84.1,2.6463,395.5,9.04
174,-71.0833,42.2475,22.6,22.6,0.08447,5.859,68.7,2.7019,393.23,9.64
175,-71.094,42.2575,29.4,29.4,0.06664,6.546,33.1,3.1323,390.96,5.33
176,-71.1125,42.255,23.2,23.2,0.07022,6.02,47.2,3.5549,393.23,10.11
177,-71.106,42.2512,24.6,24.6,0.05425,6.315,73.4,3.3175,395.6,6.29
178,-71.0965,42.247,29.9,29.9,0.06642,6.86,74.4,2.9153,391.27,6.92
179,-71.1,42.2408,37.2,37.2,0.0578,6.98,58.4,2.829,396.9,5.04
180,-71.0995,42.2345,39.8,39.8,0.06588,7.765,83.3,2.741,395.56,7.56
181,-71.0966,42.2282,36.2,36.2,0.06888,6.144,62.2,2.5979,396.9,9.45
182,-71.1005,42.2287,37.9,37.9,0.09103,7.155,92.2,2.7006,394.12,4.82
183,-71.1065,42.23,32.5,32.5,0.10008,6.563,95.6,2.847,396.9,5.68
184,-71.112,42.23,26.4,26.4,0.08308,5.604,89.8,2.9879,391.0,13.98
185,-71.1175,42.235,29.6,29.6,0.06047,6.153,68.8,3.2797,387.11,13.15
186,-71.1115,42.2442,50.0,50.0,0.05602,7.831,53.6,3.1992,392.63,4.45
187,-71.122,42.2565,32.0,32.0,0.07875,6.782,41.1,3.7886,393.87,6.68
188,-71.1408,42.255,29.8,29.8,0.12579,6.556,29.1,4.5667,382.84,4.56
189,-71.145,42.2651,34.9,34.9,0.0837,7.185,38.9,4.5667,396.9,5.39
190,-71.1216,42.27,37.0,33.0,0.09068,6.951,21.5,6.4798,377.68,5.1
191,-71.1485,42.2765,30.5,30.5,0.06911,6.739,30.8,6.4798,389.71,4.69
192,-71.134,42.2785,36.4,36.4,0.08664,7.178,26.3,6.4798,390.49,2.87
193,-71.1525,42.3,31.1,31.1,0.02187,6.8,9.9,6.2196,393.37,5.03
194,-71.1633,42.303,29.1,29.1,0.01439,6.604,18.8,6.2196,376.7,4.38
195,-71.189,42.2525,50.0,50.0,0.01381,7.875,32.0,5.6484,394.23,2.97
196,-71.22,42.2715,33.3,33.3,0.04011,7.287,34.1,7.309,396.9,4.08
197,-71.24,42.2725,30.3,30.3,0.04666,7.107,36.6,7.309,354.31,8.61
198,-71.222,42.289,34.6,34.6,0.03768,7.274,38.3,7.309,392.2,6.62
199,-71.244,42.2425,34.9,34.9,0.0315,6.975,15.3,7.6534,396.9,4.56
200,-71.263,42.2225,32.9,32.9,0.01778,7.135,13.9,7.6534,384.3,4.45
201,-71.2185,42.1955,24.1,24.1,0.03445,6.162,38.4,6.27,393.77,7.43
202,-71.214,42.218,42.3,42.3,0.02177,7.61,15.7,6.27,395.38,3.11
203,-71.199,42.232,48.5,48.5,0.0351,7.853,33.2,5.118,392.78,3.81
204,-71.199,42.2058,50.0,50.0,0.02009,8.034,31.9,5.118,390.55,2.88
205,-71.1475,42.2445,22.6,22.6,0.13642,5.891,22.3,3.9454,396.9,10.87
206,-71.15,42.2308,24.4,24.4,0.22969,6.326,52.5,4.3549,394.87,10.97
207,-71.149,42.2268,22.5,22.5,0.25199,5.783,72.7,4.3549,389.43,18.06
208,-71.1503,42.222,24.4,24.4,0.13587,6.064,59.1,4.2392,381.32,14.66
209,-71.143,42.2217,20.0,20.0,0.43571,5.344,100.0,3.875,396.9,23.09
210,-71.1435,42.2177,21.7,21.7,0.17446,5.96,92.1,3.8771,393.25,17.27
211,-71.138,42.2216,19.3,19.3,0.37578,5.404,88.6,3.665,395.24,23.98
212,-71.1335,42.225,22.4,22.4,0.21719,5.807,53.8,3.6526,390.94,16.03
213,-71.1375,42.2355,28.1,28.1,0.14052,6.375,32.3,3.9454,385.81,9.38
214,-71.127,42.235,23.7,23.7,0.28955,5.412,9.8,3.5875,348.93,29.55
215,-71.1245,42.2277,25.0,25.0,0.19802,6.182,42.4,3.9454,393.63,9.47
216,-71.1166,42.223,23.3,23.3,0.0456,5.888,56.0,3.1121,392.8,13.51
217,-71.105,42.2235,28.7,28.7,0.07013,6.642,85.1,3.4211,392.78,9.69
218,-71.0933,42.222,21.5,21.5,0.11069,5.951,93.8,2.8893,396.9,17.92
219,-71.106,42.2185,23.0,23.0,0.11425,6.373,92.4,3.3633,393.74,10.5
220,-71.11,42.2137,26.7,26.7,0.35809,6.951,88.5,2.8617,391.7,9.71
221,-71.121,42.2166,21.7,21.7,0.40771,6.164,91.3,3.048,395.24,21.46
222,-71.125,42.2134,27.5,27.5,0.62356,6.879,77.7,3.2721,390.39,9.93
223,-71.1208,42.2183,30.1,30.1,0.6147,6.618,80.8,3.2721,396.9,7.6
224,-71.11,42.206,44.8,44.8,0.31533,8.266,78.3,2.8944,385.05,4.14
225,-71.1012,42.1975,50.0,50.0,0.52693,8.725,83.0,2.8944,382.0,4.63
226,-71.1215,42.2025,37.6,37.6,0.38214,8.04,86.5,3.2157,387.38,3.13
227,-71.116,42.1947,31.6,31.6,0.41238,7.163,79.9,3.2157,372.08,6.36
228,-71.11,42.185,46.7,46.7,0.29819,7.686,17.0,3.3751,377.51,3.92
229,-71.119,42.1807,31.5,31.5,0.44178,6.552,21.4,3.3751,380.34,3.76
230,-71.13,42.188,24.3,24.3,0.537,5.981,68.1,3.6715,378.35,11.65
231,-71.1285,42.193,31.7,31.7,0.46296,7.412,76.9,3.6715,376.14,5.25
232,-71.14,42.1946,41.7,41.7,0.57529,8.337,73.3,3.8384,385.91,2.47
233,-71.134,42.204,48.3,48.3,0.33147,8.247,70.4,3.6519,378.95,3.95
234,-71.132,42.2142,29.0,29.0,0.44791,6.726,66.5,3.6519,360.2,8.05
235,-71.138,42.2141,24.0,24.0,0.33045,6.086,61.5,3.6519,376.75,10.88
236,-71.1485,42.211,25.1,25.1,0.52058,6.631,76.5,4.148,388.45,9.54
237,-71.1491,42.203,31.5,31.5,0.51183,7.358,71.6,4.148,390.07,4.73
238,-71.2055,42.1875,23.7,23.7,0.08244,6.481,18.5,6.1899,379.41,6.36
239,-71.2035,42.187,23.3,23.3,0.09252,6.606,42.2,6.1899,383.78,7.37
240,-71.1966,42.164,22.0,27.0,0.11329,6.897,54.3,6.3361,391.25,11.38
241,-71.2138,42.1645,20.1,20.1,0.10612,6.095,65.1,6.3361,394.62,12.4
242,-71.22,42.1782,22.2,22.2,0.1029,6.358,52.9,7.0355,372.75,11.22
243,-71.232,42.1725,23.7,23.7,0.12757,6.393,7.8,7.0355,374.71,5.19
244,-71.2435,42.163,17.6,17.6,0.20608,5.593,76.5,7.9549,372.49,12.5
245,-71.2575,42.1618,18.5,18.5,0.19133,5.605,70.2,7.9549,389.13,18.46
246,-71.262,42.169,24.3,24.3,0.33983,6.108,34.9,8.0555,390.18,9.16
247,-71.247,42.1703,20.5,20.5,0.19657,6.226,79.2,8.0555,376.14,10.15
248,-71.255,42.1767,24.5,24.5,0.16439,6.433,49.1,7.8265,374.71,9.52
249,-71.2475,42.1825,26.2,26.2,0.19073,6.718,17.5,7.8265,393.74,6.56
250,-71.238,42.191,24.4,24.4,0.1403,6.487,13.0,7.3967,396.28,5.9
251,-71.2435,42.1982,24.8,24.8,0.21409,6.438,8.9,7.3967,377.07,3.59
252,-71.2685,42.1935,29.6,29.6,0.08221,6.957,6.8,8.9067,386.09,3.53
253,-71.2807,42.1727,42.8,42.8,0.36894,8.259,8.4,8.9067,396.9,3.54
254,-71.2895,42.1575,21.9,21.9,0.04819,6.108,32.0,9.2203,392.89,6.57
255,-71.269,42.1482,20.9,20.9,0.03548,5.876,19.1,9.2203,395.18,9.25
256,-71.223,42.145,44.0,44.0,0.01538,7.454,34.2,6.3361,386.34,3.11
257,-71.0679,42.2073,50.0,50.0,0.61154,8.704,86.9,1.801,389.7,5.12
258,-71.0727,42.2077,36.0,36.0,0.66351,7.333,100.0,1.8946,383.29,7.79
259,-71.0765,42.2075,30.1,30.1,0.65665,6.842,100.0,2.0107,391.93,6.9
260,-71.08,42.204,33.8,33.8,0.54011,7.203,81.8,2.1121,392.8,9.59
261,-71.079,42.202,43.1,43.1,0.53412,7.52,89.4,2.1398,388.37,7.26
262,-71.0835,42.2,48.8,48.8,0.52014,8.398,91.5,2.2885,386.86,5.91
263,-71.075,42.198,31.0,31.0,0.82526,7.327,94.5,2.0788,393.42,11.25
264,-71.071,42.203,36.5,36.5,0.55007,7.206,91.6,1.9301,387.89,8.1
265,-71.07,42.2,22.8,22.8,0.76162,5.56,62.8,1.9865,392.4,10.45
266,-71.0725,42.1965,30.7,30.7,0.7857,7.014,84.6,2.1329,384.07,14.79
267,-71.085,42.1925,50.0,50.0,0.57834,8.297,67.0,2.4216,384.54,7.44
268,-71.0925,42.2075,43.5,43.5,0.5405,7.47,52.6,2.872,390.3,3.16
269,-71.098,42.154,20.7,20.7,0.09065,5.92,61.5,3.9175,391.34,13.65
270,-71.087,42.141,21.1,21.1,0.29916,5.856,42.1,4.429,388.65,13.0
271,-71.094,42.1355,25.2,25.2,0.16211,6.24,16.3,4.429,396.9,6.59
272,-71.0982,42.1445,24.4,24.4,0.1146,6.538,58.7,3.9175,394.96,7.73
273,-71.117,42.151,35.2,35.2,0.22188,7.691,51.8,4.3665,390.77,6.58
274,-71.1305,42.1675,32.4,32.4,0.05644,6.758,32.9,4.0776,396.9,3.53
275,-71.138,42.1733,32.0,32.0,0.09604,6.854,42.8,4.2673,396.9,2.98
276,-71.1405,42.1632,33.2,33.2,0.10469,7.267,49.0,4.7872,389.25,6.05
277,-71.1495,42.173,33.1,33.1,0.06127,6.826,27.6,4.8628,393.45,4.16
278,-71.1395,42.1813,29.1,29.1,0.07978,6.482,32.1,4.1403,396.9,7.19
279,-71.148,42.188,35.1,35.1,0.21038,6.812,32.2,4.1007,396.9,4.85
280,-71.166,42.187,45.4,45.4,0.03578,7.82,64.5,4.6947,387.31,3.76
281,-71.185,42.1848,35.4,35.4,0.03705,6.968,37.2,5.2447,392.23,4.59
282,-71.1775,42.1735,46.0,46.0,0.06129,7.645,49.7,5.2119,377.07,3.01
283,-71.173,42.1475,50.0,50.0,0.01501,7.923,24.8,5.885,395.52,3.16
284,-71.18,42.1105,32.2,32.2,0.00906,7.088,20.8,7.3073,394.72,7.85
285,-71.2135,42.1,22.0,22.0,0.01096,6.453,31.9,7.3073,394.72,8.23
286,-71.195,42.0675,20.1,20.1,0.01965,6.23,31.5,9.0892,341.6,12.93
287,-71.148,42.0775,23.2,23.2,0.03871,6.209,31.3,7.3172,396.9,7.14
288,-71.1325,42.094,22.3,22.3,0.0459,6.315,45.6,7.3172,396.9,7.6
289,-71.155,42.098,24.8,24.8,0.04297,6.565,22.9,7.3172,371.72,9.51
290,-71.1385,42.1235,28.5,28.5,0.03502,6.861,27.9,5.1167,396.9,3.33
291,-71.133,42.1408,37.3,37.3,0.07886,7.148,27.7,5.1167,396.9,3.56
292,-71.107,42.1307,27.9,27.9,0.03615,6.63,23.4,5.1167,396.9,4.7
293,-71.109,42.11,23.9,23.9,0.08265,6.127,18.4,5.5027,396.9,8.58
294,-71.118,42.1217,21.7,21.7,0.08199,6.009,42.3,5.5027,396.9,10.4
295,-71.1309,42.1166,28.6,28.6,0.12932,6.678,31.1,5.9604,396.9,6.27
296,-71.128,42.1108,27.1,27.1,0.05372,6.549,51.0,5.9604,392.85,7.39
297,-71.121,42.1025,20.3,20.3,0.14103,5.79,58.0,6.32,396.9,15.84
298,-71.12,42.0725,22.5,22.5,0.06466,6.345,20.1,7.8278,368.24,4.97
299,-71.1,42.059,29.0,29.0,0.05561,7.041,10.0,7.8278,371.58,4.74
300,-71.1035,42.0735,24.8,24.8,0.04417,6.871,47.4,7.8278,390.86,6.07
301,-71.0875,42.095,22.0,22.0,0.03537,6.59,40.4,5.4917,395.75,9.5
302,-71.0625,42.102,26.4,26.4,0.09266,6.495,18.4,5.4917,383.61,8.67
