,theta1,theta2,theta3,thetad1,thetad2,thetad3,tau1,tau2,thetadd3
1400,-1.331916,0.215339,0.09446,0.450846,-0.158283,1.295807,-0.04868,0.239201,-1.083334
1670,1.144047,1.451807,1.655729,-1.65395,1.390079,0.915349,-0.233919,-0.273717,0.240901
6555,1.520011,-1.867797,-0.021432,1.695804,0.853183,-1.296626,0.467826,0.347274,-10.266507
8090,-1.791097,-0.223649,-0.27095,0.201203,0.001892,1.647282,-0.11281,0.005777,-4.569026
2580,-1.413118,0.158162,0.436627,-1.632113,-1.057324,0.920811,0.185399,-0.40257,3.019391
3169,0.086459,1.702969,0.635161,-1.241156,-1.195793,-0.291712,0.590763,0.150476,9.24625
3047,0.384292,0.942158,1.220722,0.820031,-0.532159,-1.770172,0.271082,-0.321966,3.093461
1894,-1.637447,-0.227473,-0.442494,1.038165,1.297546,-1.082223,0.286959,0.111933,-0.163784
4538,0.32301,0.165212,-1.704424,1.294453,-0.284995,1.650581,-0.462945,0.089611,-3.747547
742,-1.841223,1.759829,-1.27857,-0.432766,-1.338452,-0.303445,0.218532,-0.327562,2.659521
5974,-1.368664,0.865909,1.471405,-0.710958,1.541869,-0.170461,0.062189,0.011125,4.927873
5480,-0.074157,1.477577,1.233829,-1.3226,-1.543764,-1.511209,-0.31813,0.393495,8.249561
3660,-0.137993,-0.745222,-1.301865,0.12604,-0.334269,-0.886678,0.019267,-0.17615,-2.8599
5879,-1.086876,1.8614,1.823253,1.573339,0.945979,1.356094,-0.323783,0.171639,-4.17366
2627,-0.960845,1.385169,1.33593,-0.609258,-0.719951,1.204712,-0.192555,0.128709,2.561055
2941,0.47563,1.698432,-0.215272,1.03622,-1.238315,1.316238,0.055959,-0.304034,6.484971
6513,1.151492,-1.605435,-1.28289,-1.404881,-0.88584,-0.939789,0.286553,0.501,1.78594
2142,1.170712,0.99637,0.042899,0.945251,0.421252,0.082749,-0.10572,0.372073,6.844971
6409,-0.105388,0.601212,1.207046,0.933426,1.49708,1.04368,-0.083789,0.560086,8.007184
4995,1.102346,1.790444,0.562083,-0.46412,-0.515813,1.532817,-0.481704,0.407438,7.245428
5838,0.538591,0.538767,-0.275244,-0.343979,1.780738,-0.463051,-0.443898,-0.19535,1.52097
6781,1.057188,0.571484,-0.806967,1.442475,-0.629709,-1.381819,-0.505093,-0.291027,5.714424
7033,1.489988,-1.298899,0.960516,0.637596,-1.786311,1.048106,-0.406254,0.080981,4.30501
1617,1.003368,0.790335,1.761108,1.369276,-1.879352,1.821484,-0.559825,0.223433,7.968747
5493,1.005788,-0.006082,-0.427669,1.384016,0.799766,-1.835406,0.479211,-0.294983,2.733843
1871,0.21375,-0.224481,0.829124,1.496829,0.580579,1.263858,-0.567878,0.46879,5.480045
5414,-1.088812,-0.510651,1.574481,1.302843,1.243401,1.230204,0.589872,-0.428349,6.857619
1261,-1.56936,1.8321,-0.523672,1.383993,0.413166,-0.099883,-0.356633,0.073803,6.129757
5039,-1.06899,0.889529,-1.150676,0.237989,0.004469,-0.287549,0.059025,-0.369834,-3.706755
3912,-1.344021,0.351153,-1.85398,-1.532589,1.576511,1.478617,-0.04351,-0.470481,-1.244296
4928,0.379496,-0.496358,0.523647,-1.801543,1.38592,-1.131067,0.576632,0.259865,3.188216
8098,-1.528183,0.234802,-0.778339,0.040688,1.485001,1.59436,-0.04059,-0.591539,-0.688642
1550,-0.010301,0.290747,0.783492,-0.14516,-0.578922,0.20438,0.197222,0.31731,6.957409
8005,0.162916,1.178035,-0.344371,-1.02548,0.787156,1.106291,0.073445,-0.405485,5.378743
6384,0.187828,1.410422,-0.242102,-1.272551,-1.060908,0.994741,-0.301546,-0.476015,0.883023
7003,1.697072,-0.454526,-1.37007,-0.153184,0.289286,-1.149892,-0.534061,0.038737,-3.780281
4915,0.653866,0.235378,1.354045,-1.51941,0.65983,-1.317531,0.227012,0.586265,9.457118
2894,1.430664,0.678587,1.035175,0.044103,-1.438052,-0.444126,-0.000671,-0.469582,9.034626
5715,0.562647,1.46778,-1.319177,-0.567203,1.125435,1.542475,-0.413372,0.449799,-0.548011
1323,1.291147,0.696112,1.516333,0.409727,-1.349746,-1.625273,0.258169,-0.16019,8.778196
7784,-1.305712,-0.443788,-1.86708,0.724727,-0.098389,1.362486,0.273377,-0.14644,0.553196
2495,-0.47953,0.601609,0.340365,1.554029,0.618433,0.356189,-0.045845,-0.115406,6.222732
4237,1.570352,-0.240252,-0.345287,-1.349009,-0.549664,1.847853,0.108759,0.3164,-3.722926
4984,0.595116,0.545183,-1.758561,-0.030112,-0.925265,-0.039314,-0.321147,0.083036,-4.419462
6232,0.885558,-0.028227,0.6036,-0.118183,0.43441,-1.180612,-0.478574,0.207551,9.257214
1452,-0.700426,1.364696,0.299617,-0.935504,1.281104,1.552091,-0.572366,-0.554435,8.517305
6755,1.114626,0.838201,-0.521734,0.026288,0.74838,1.598819,-0.18391,0.229327,8.180341
3806,0.397583,-1.879382,1.31483,-0.879968,-0.257858,1.586219,-0.389536,0.276416,-0.828375
2937,1.737364,-1.847985,1.209568,1.844536,1.142038,1.611885,0.119903,0.402058,-5.212111
7375,1.413759,-0.706374,-0.582486,0.612775,-0.486577,-0.960747,-0.239804,0.410098,-4.822351
6391,-0.470151,-0.089807,-1.423868,0.442266,-1.107349,0.836534,0.520506,0.147603,-2.386595
4240,-1.619558,-1.159659,0.045581,0.792917,-0.079663,-0.569724,0.069894,-0.09953,-8.039799
2358,-1.570799,0.266639,-1.014996,-0.183489,-0.104018,1.007698,-0.582419,-0.32313,-2.704928
7666,0.294799,1.025017,-1.037021,-0.914541,-0.755278,-0.66605,-0.45688,0.016447,2.599313
5462,0.187304,0.147276,-1.566829,-0.868113,-0.819862,-0.390399,-0.571443,0.55886,-1.605997
7753,1.826553,0.480645,-0.713929,0.625488,-1.703665,-1.017556,-0.55855,0.048137,-2.771872
3905,0.718451,-0.024813,1.434231,0.309669,-1.637763,-1.768499,-0.376625,0.060685,-0.066642
6435,0.508387,1.842367,-1.386885,-0.009978,-1.825252,-1.252047,0.158723,0.049845,1.309144
33,1.310151,-0.341874,-0.536317,-0.02747,-1.76258,0.284291,0.511372,0.232894,1.567376
496,-1.466021,0.728748,-0.370394,-1.094652,-0.647837,-0.686639,-0.20548,0.103375,5.029846
5921,1.485375,0.344854,1.613499,1.111849,-0.609654,0.160362,-0.089523,0.194718,3.272192
2945,-0.783624,1.698766,1.619297,0.530801,1.559568,-0.531549,0.298696,0.5784,-8.61985
6984,-0.493548,-1.263548,-0.534507,0.235554,0.549712,-1.043791,-0.507396,0.591089,-7.81431
6361,-0.525212,-1.870967,-0.518576,0.323302,1.288422,0.142309,0.529449,0.455497,-10.173849
1383,0.740011,0.429141,0.733921,-0.138484,-1.461587,-0.144898,0.022254,-0.38458,8.282625
4216,1.183458,0.331315,0.257584,1.359778,0.580848,-1.763572,-0.416387,0.188909,7.364024
1407,-0.107712,-0.751559,1.519314,1.506618,-0.765852,-1.191354,-0.346348,0.127877,2.532229
2697,1.170499,1.173757,-0.607871,-0.033553,1.557076,-0.941138,0.266897,0.132655,9.735402
6571,-1.054972,-1.015196,0.220082,0.635118,1.80226,-0.648995,-0.416673,0.180125,-6.878812
3025,-0.631582,1.077591,0.41914,-1.471721,-0.828563,0.388129,0.427532,-0.072437,10.026697
487,0.9917,0.717363,0.54486,0.344929,-0.905028,0.780883,0.392177,-0.275301,9.475886
465,-0.434975,-0.767988,0.608926,-1.08771,-0.840804,-1.770521,-0.393835,0.012033,-5.992901
319,1.31743,1.35257,0.076683,-0.501232,1.540342,0.546332,-0.414383,0.261039,5.318578
4602,0.072919,0.324011,-1.872763,-0.532286,-0.125486,-1.662448,0.576405,0.031042,-1.068298
2892,-1.200252,0.151696,1.098857,-0.30647,-1.142983,1.347109,-0.392692,0.020808,9.442564
4829,-0.526321,-1.670369,0.630725,-0.389905,-1.022286,1.690048,-0.52178,0.036173,-10.266745
7770,-0.28071,-1.732175,-1.410075,-1.461392,-0.650584,-1.620315,0.382479,-0.073775,-3.765971
5403,0.567498,0.055781,-1.191298,-0.141809,-0.804855,-0.755824,0.465724,-0.183289,-3.794561
4550,-0.765938,1.130318,0.674986,0.826833,0.693258,-1.201759,0.389712,0.288075,8.66952
5549,-0.185568,-1.123715,0.972738,-1.304354,-0.244632,1.444539,0.04412,-0.071065,-5.550961
1183,-1.084952,0.280109,-0.832424,-0.411659,-0.964476,0.675542,-0.360552,0.199973,4.534325
6802,0.052865,-1.193623,-1.521666,0.443522,1.153101,-0.95371,0.208889,-0.407111,-3.496688
6325,-0.56061,-1.160504,0.934047,0.621985,-0.260126,1.162729,-0.393127,-0.086858,-2.30034
2540,-1.426823,-0.213117,-0.441662,-0.057158,0.671395,0.798795,0.220212,0.297632,-1.907066
7262,0.218376,-1.649486,1.009899,1.240698,1.032819,-1.858459,-0.448521,0.101594,-7.17652
7995,-1.261491,0.104432,-1.59618,-0.302446,-1.361732,0.494851,0.168845,-0.21513,-1.984123
4466,1.540884,-1.656269,0.10983,-1.336362,0.885904,-1.758039,0.381931,0.308984,-7.28347
5992,-0.397813,1.776533,0.500255,0.883791,0.417452,0.318281,-0.04707,-0.311552,8.115443
6983,-0.45672,-0.558051,0.381712,-0.954262,-1.079893,-1.405935,0.08153,-0.119708,-1.804225
7645,1.163895,-0.481992,0.70552,1.309856,-1.523828,1.795005,0.581608,-0.114156,3.002723
4368,-0.58673,0.923023,0.067393,1.698258,0.631577,-1.151117,0.115982,0.506308,10.028998
5953,-1.031806,0.02271,0.922449,1.724983,1.168679,0.746569,0.418979,0.186446,8.65874
4696,-0.968724,0.909137,0.419634,-0.718771,-1.582688,0.258022,0.377107,-0.364816,6.345753
263,1.783832,-1.243638,-1.43747,1.800789,1.020653,1.012211,-0.441304,0.201878,-0.412542
1263,-0.307294,0.081158,-0.688362,0.552811,-1.736277,1.272795,0.444639,-0.558318,6.893516
5861,-1.624524,-1.678302,-0.742663,0.238374,-1.057416,-0.624528,-0.322431,0.096204,-6.045247
4314,1.8794,-1.013026,-1.004856,0.585239,0.420125,0.00258,-0.596196,-0.263243,-6.843943
7108,1.220772,1.65826,-0.575283,1.046719,1.795042,-1.323579,0.270425,-0.564792,4.05673
3761,1.686287,-0.763791,-0.487947,-1.373902,-0.459358,0.346152,0.253895,0.012448,-6.839459
3050,0.391822,-0.681715,-0.82335,1.303428,-0.236777,1.521224,-0.100969,-0.177849,-3.96454
2847,0.714283,1.557266,-1.52575,-0.337467,-1.864129,1.313193,0.563543,-0.137281,-5.52696
6896,0.288862,-0.742363,1.505213,-1.751781,0.825198,-0.394605,-0.269678,-0.079812,6.445855
1515,-1.861406,1.834186,0.605488,1.438534,1.002729,1.361355,0.221459,-0.340183,3.354953
1979,1.068519,-1.251513,-1.837852,1.87556,-1.45619,0.070072,0.475591,0.065164,0.451295
3708,0.364553,0.940649,-1.524839,-0.112042,1.873575,-0.88995,0.514202,-0.200444,4.713423
4951,1.679175,0.334681,0.282707,1.361049,-0.665343,-0.870832,-0.408456,0.276348,6.787902
5501,-0.979455,1.510299,0.779732,0.750068,-0.193337,0.240993,0.473398,0.395762,9.602334
3479,0.175487,1.342658,-0.639384,-1.882064,1.46852,-0.187775,-0.164976,0.446784,3.688461
2407,0.392179,1.546565,-0.423067,-0.432311,-1.227436,-0.558647,0.531124,-0.199091,1.726783
2263,-0.507042,-1.852517,0.442014,-1.571984,-0.80297,0.762685,0.236902,0.015173,-5.51867
5027,-1.873625,0.048033,0.530477,-0.116236,-0.761874,1.579556,-0.037799,-0.48988,5.506727
6081,1.507348,0.185926,-0.396201,-1.281906,0.041804,1.389617,0.218169,-0.427274,7.39732
2577,-1.702679,0.463767,-1.645609,-1.689459,0.239385,0.84615,0.360686,-0.347021,-2.603792
2943,-0.066203,-0.556805,-1.298965,-0.157535,-1.220759,-1.439778,0.227904,-0.024288,-3.178891
222,0.914601,1.77564,0.557957,1.808015,1.823907,1.252401,0.537384,-0.579451,6.08471
6691,-1.781179,0.591937,-0.107952,-1.020991,0.837391,0.953817,0.360649,0.222415,6.232062
3601,-0.835173,-1.374515,0.54007,-0.988078,-0.172815,-1.672433,-0.037833,0.138902,-8.267246
5061,-1.835519,-0.390516,0.016501,-1.636921,1.075416,1.566097,-0.037836,0.098367,-1.665306
6377,-1.730773,-0.467724,-0.768559,-1.453621,1.791647,-1.833494,-0.086856,-0.589376,-1.219348
2118,1.276523,-0.035754,-1.495968,-1.195536,0.246508,-0.066207,-0.196179,0.412464,-2.798272
4532,-1.220746,-1.219761,0.25336,-1.776956,-0.06744,1.273373,-0.064712,-0.422705,-2.951916
5736,-1.270023,-0.034612,-1.156571,-0.819537,1.293754,-0.715955,0.158335,-0.467072,-2.075671
239,-0.22304,-1.349775,1.655361,-0.286514,-1.268762,-1.472525,0.236963,-0.160997,8.627685
6324,-0.687322,-0.806791,0.630264,-0.608702,1.089446,-0.1449,0.011031,0.590232,-8.298001
2304,-1.294741,-0.781655,0.868016,-0.816765,-1.121743,0.184651,0.253759,0.122465,-0.701259
93,0.711641,-1.384713,-1.204762,-0.247964,-1.772232,0.171679,0.456062,-0.564582,1.579136
7213,-1.622218,-0.612877,-1.230303,0.267491,-1.786416,-0.727311,-0.592091,0.327391,-5.103149
4961,-1.316885,0.256017,1.415517,-1.30896,1.520091,-0.522825,0.173265,-0.337874,7.800752
101,0.913967,-1.341789,0.155457,0.223131,-0.893828,0.536158,0.353907,-0.280171,-0.098685
5198,1.359247,-0.79179,0.166145,-1.097267,0.643615,1.363424,0.494544,-0.595086,-3.99011
8044,-1.267928,1.243812,0.593188,-1.710324,0.157589,-1.65392,-0.598223,0.46412,9.507396
3621,1.119531,0.33536,0.3805,1.290103,-1.765624,-1.869459,-0.494773,0.355604,10.037828
8185,0.51148,1.048591,-0.665991,-0.443943,-0.697715,1.702465,-0.095036,-0.073461,8.301461
1197,-1.793679,1.623406,1.734209,1.66082,0.976729,1.686307,-0.137184,-0.459818,6.209976
5979,0.168484,0.498859,0.043615,1.667482,-0.155812,1.36143,-0.577922,-0.331269,3.064016
7013,0.427643,-1.829153,1.045192,-1.246481,-0.203135,1.457102,0.052024,-0.436218,-8.340166
6743,-1.795619,-0.822053,0.482577,1.593743,0.816,-0.418358,-0.148076,0.083787,-3.118588
4949,0.646519,1.153198,0.678255,-0.783343,-1.12222,-0.280186,-0.146395,-0.452955,8.227292
7535,-1.521293,-0.836728,-1.110944,0.731931,0.349894,-0.399634,0.426908,0.248546,-1.708735
7503,0.766708,0.498298,-1.852024,1.188857,0.583048,1.290033,0.263652,-0.394859,-1.125998
5046,1.567416,-0.57483,1.113478,0.383676,-1.879604,1.34667,-0.33834,0.325093,5.975824
4447,0.025603,0.540298,-0.924884,-1.184107,0.082208,-1.883594,-0.51432,-0.578873,1.461748
7745,0.097787,-0.181958,-0.764486,-0.866773,-0.916283,0.110519,-0.342952,-0.389312,4.926285
4509,0.780599,0.239734,-0.820523,-0.189988,-0.018694,-1.279634,0.169276,-0.17067,2.741221
3790,1.121962,-0.274734,0.684132,-0.023638,-1.440502,-0.153833,0.216978,-0.05871,2.469948
7795,-0.825975,-1.347781,1.233665,-0.310229,-0.236425,-0.112639,-0.198105,0.442964,5.847259
1886,1.839162,1.300716,-0.586849,-1.089759,-1.351486,-0.712505,-0.582982,-0.184215,4.636899
4414,-0.192676,0.05622,-1.363645,-1.486204,0.804817,0.115749,0.037345,0.061057,-3.385936
7676,-1.858009,-1.37639,-0.813773,0.154507,-0.670753,-1.314493,-0.321069,0.190381,-4.536318
1193,0.893051,1.487798,-0.408987,-1.295224,-1.367284,1.436648,-0.173231,-0.300759,7.877365
2825,0.620972,1.565297,1.505243,-1.250466,0.668967,1.452763,-0.360408,0.217945,1.497545
3305,0.026198,-0.768753,-0.938581,-1.428515,1.512949,0.079231,0.270629,0.461233,-7.945464
5059,0.694864,-0.598452,-0.054209,1.225695,1.458374,-1.067883,0.202004,0.274613,-7.893348
6119,1.710579,0.354077,-1.715904,0.621468,-1.405695,0.509369,-0.15974,-0.3452,-2.889744
5310,1.103927,-1.794684,-0.201943,-1.129253,-1.618247,-1.741139,-0.403528,0.299088,-10.779477
763,0.392133,0.770207,-1.002952,-1.347807,0.804843,0.556048,-0.03656,-0.061075,3.154888
6827,1.08062,-1.453771,-0.730475,1.509641,1.03095,0.672087,0.355116,-0.358524,-5.432861
6732,1.373183,-0.305861,1.54828,-1.76324,0.489659,-0.016076,0.396747,-0.278736,9.25703
7801,-1.300922,0.881902,-1.171897,1.707325,-1.556933,-0.414815,-0.392087,0.593394,-1.604992
2603,-1.124437,0.149069,-1.582742,-0.660371,-0.235528,-0.116406,0.048997,0.29111,-3.811241
1320,1.85834,-0.593237,0.88549,-1.176993,-0.994018,1.792333,-0.513187,0.473333,6.407966
2157,0.811841,1.299766,-1.462028,-0.021469,1.076323,1.730065,-0.039943,-0.513978,-1.051977
7124,0.466813,0.549388,1.056099,1.121476,-0.8999,0.270189,-0.534129,0.088364,9.200693
4302,0.224818,1.071624,-1.854246,1.549041,-0.275746,-1.234924,0.56419,-0.06529,-4.174522
533,-1.56713,1.620561,-0.843441,-0.842597,-1.739767,-0.828603,-0.090593,0.195803,4.778938
2166,-0.914717,0.052743,0.525474,-1.252412,-1.873975,1.705884,0.194259,-0.289259,-0.401394
4094,-0.700782,-0.837148,-0.636528,0.884563,-1.68469,1.217126,0.220459,-0.350821,-3.901456
6757,-0.652507,-0.0053,1.398127,0.459706,1.72357,0.039681,-0.112553,-0.476528,6.014492
7115,0.581234,0.955519,-0.413577,0.722088,0.793421,0.851496,0.164494,-0.144146,9.189535
5571,1.73358,-1.370337,-0.87156,1.571546,0.971747,0.898109,-0.063169,0.311397,-4.663342
3862,-0.209994,-0.738254,-1.058103,-0.873622,0.845775,-1.402649,-0.338629,0.269229,-3.126021
811,0.63456,-0.029914,-1.362175,0.587387,-1.177723,1.814645,0.049056,0.089339,-2.588481
6924,-0.500713,-1.040303,0.473849,-1.840948,-1.154864,1.481501,-0.216111,0.217194,4.263926
4350,-1.856352,0.080843,1.551941,-0.545572,-1.003223,1.641887,-0.179499,-0.046172,7.151149
4251,0.470494,-1.685207,0.075274,-1.56765,0.408694,0.141565,0.15099,-0.316342,-7.284442
3393,1.776175,-1.748619,1.187063,0.598047,0.789477,-1.353601,0.456141,-0.434472,-9.613913
1487,1.110498,-0.689612,-1.59555,-1.031551,0.535025,0.92229,-0.303344,0.497038,1.211966
4844,-0.076862,1.251601,-0.442455,1.699484,-1.386693,-0.563137,0.507827,-0.554236,6.8721
5738,1.821063,-1.30371,-0.730029,1.464371,1.696874,-0.009884,-0.080111,-0.032713,-5.48032
6719,-0.189552,-0.227538,-1.539214,-0.436334,-0.984876,0.862849,-0.30222,0.193635,-3.686655
3768,-0.808239,-1.082986,-0.62042,0.173937,1.680876,-1.236927,-0.555432,-0.342953,-8.753823
2513,-1.459044,1.120712,1.322829,1.614216,1.850661,-1.472338,0.038291,0.351924,-4.945608
1650,0.071344,0.245504,-1.866063,-1.034428,1.194756,1.715516,0.127416,-0.51496,5.05918
6533,-1.416862,1.327725,0.966803,0.735382,1.804313,-0.077652,-0.223419,-0.201277,-5.019128
315,0.291439,1.102866,-0.786159,0.567551,0.949302,0.657377,-0.343246,-0.543479,0.338645
8027,0.74292,0.318375,1.418825,1.496368,0.376948,-1.862991,0.505402,-0.502998,8.934738
7075,-0.952971,1.762714,-1.793404,-1.293559,0.240275,0.729999,0.574866,0.580319,-1.844725
5708,-0.165334,-0.350166,-0.410089,-0.967431,0.005968,-1.483676,0.58011,-0.096626,-3.118988
7606,-1.467829,0.489505,1.160577,0.300873,1.316212,-0.264795,0.591418,0.360393,6.460634
3742,-0.665734,0.108646,1.372112,0.537231,0.310755,1.525299,0.098669,-0.065222,7.550017
676,1.234845,0.686386,0.155524,1.343838,0.355313,0.20651,-0.40616,0.476724,9.442061
8161,-1.170069,-1.488878,1.105618,0.232697,1.546328,-0.633342,0.525247,-0.580262,-8.514535
3127,1.869965,-1.244753,-1.330343,0.266997,1.221044,-1.312137,0.283427,-0.444595,-2.368424
586,-1.28025,1.490893,-1.162253,1.69283,-0.119464,1.533609,0.154519,0.202637,2.434125
7182,0.929664,-1.425961,-0.796622,-1.874532,-0.115669,1.230157,0.335884,0.40212,-6.379951
1544,0.291755,-1.122567,1.424518,-0.824927,1.18214,0.78858,-0.428877,0.268048,0.139702
518,-1.110001,1.505437,-1.771023,1.636357,0.752062,-0.60813,-0.195027,0.575975,-1.136477
1127,0.513984,1.667221,-0.772573,-1.065367,1.454848,-0.006489,0.083092,-0.280124,2.123315
2716,1.180414,-1.822022,0.269177,0.156169,0.87166,0.107214,-0.024833,0.23207,-9.478915
2266,0.752727,-0.746611,1.74943,1.133616,-0.454264,-0.740031,-0.245881,0.277942,9.753043
233,-1.588363,-0.881915,0.938751,0.510884,-1.433572,-0.540263,0.480035,0.348017,-1.913553
1559,-0.895648,0.10655,0.072444,-0.108725,1.066458,1.801567,-0.31366,-0.089401,4.601899
5261,1.482512,1.239355,1.072857,0.020518,1.787135,1.486865,-0.317232,-0.111496,6.365816
4161,-1.355917,0.211358,1.035602,-0.313416,-1.014955,0.490724,-0.309114,-0.474579,9.281797
5799,0.097652,1.329308,1.19301,-1.238579,0.64861,-1.388241,-0.05931,0.379335,2.510278
3365,-1.526893,-0.714011,-0.755067,-0.891796,0.759463,-0.617441,0.39397,-0.139425,-4.769773
7992,1.783449,-0.132274,1.119499,-0.204783,0.145681,1.792883,0.028426,0.161154,8.973176
8034,-0.972557,0.575701,-1.562707,0.552744,0.915641,0.406212,-0.031604,0.436723,-1.769001
2802,0.159847,-1.397928,-0.888001,0.445154,-1.577896,1.627792,0.019337,-0.202824,1.288769
6620,-1.212913,-1.524985,1.210778,-0.435913,-1.454749,1.678404,-0.418728,0.437549,1.576502
1010,-1.01645,1.762146,-0.027885,-1.200239,0.371359,-1.544481,0.480396,0.416456,7.51874
3016,-1.33019,-0.932611,0.898393,0.790127,-1.724992,-1.329302,-0.347703,0.162572,4.675257
2592,-0.288542,-1.42766,0.810894,0.460318,0.708061,-1.220144,0.43047,0.111086,-11.63515
1561,-1.486092,-1.093168,1.680144,1.548633,0.409039,-1.593381,0.475698,-0.54013,3.699403
7798,1.631771,-0.92707,-0.222705,0.525953,-0.753055,-0.996818,-0.011708,0.026373,-0.643369
5965,-1.324861,-1.85018,-1.741361,-1.228682,1.115628,-1.177852,-0.113878,0.054092,6.091624
2647,0.216788,1.818066,1.102558,1.577061,-0.582007,1.123551,0.010474,-0.357411,2.320248
800,0.887179,0.817019,1.624204,0.065431,-1.108338,-0.704979,0.081264,0.211683,-5.332126
6346,-1.646409,-0.048445,0.079101,-1.334825,0.34074,0.324675,0.559407,-0.047048,7.799591
7771,-1.345415,-0.455211,-1.575438,1.475582,1.627053,-1.049941,0.189038,-0.430751,-1.330521
1616,-0.241996,0.508796,1.178265,-0.244325,-0.940868,1.603268,-0.384772,-0.068241,9.637358
7978,0.243545,-0.867018,-1.269184,-1.025312,-0.150362,-1.289163,-0.406891,0.188952,-4.596902
1430,-0.172557,-1.110432,1.802264,-0.585235,-0.354625,0.049783,-0.071226,0.507195,7.639124
1844,-0.715944,0.686519,-1.370524,-0.238295,-1.377495,-0.543013,0.171247,0.554819,-1.396663
3680,-1.769432,-1.77788,-0.513856,0.483614,0.175721,1.505607,0.349688,-0.398647,-7.384947
6782,1.791825,1.157931,1.058909,-0.673832,-0.28465,-0.094013,-0.153664,-0.233705,5.559228
4252,1.441824,-0.252476,1.548186,0.439705,1.091373,-1.686359,-0.143081,0.03901,9.064992
7462,-0.60265,1.016936,-1.130637,1.499758,0.800561,0.209344,0.355305,0.415588,5.571497
3085,-0.671348,-0.006092,-0.594725,-1.507342,-0.094963,-1.371884,-0.154507,0.008722,-2.730984
65,-1.580315,-1.329327,-1.507294,0.708834,0.452611,-0.652055,0.015374,0.396761,2.37199
4864,-0.501963,0.575612,0.712171,-0.017504,-0.129683,-0.577111,0.149972,0.579607,8.505335
3128,0.929678,-1.191841,-1.730245,0.870836,1.350061,-0.624531,-0.334744,-0.439045,6.422303
6821,-1.086545,-0.111561,-1.361366,-0.894536,-0.06835,1.069781,0.351095,0.456103,2.848621
1242,0.336346,1.865747,-0.506362,-1.73829,1.37593,0.615718,-0.011718,-0.141925,7.823478
4641,0.925475,-0.196523,-0.513137,1.267805,0.463306,-1.848267,0.075818,-0.12855,-4.772461
5239,1.013471,0.949584,1.621409,-1.668354,0.581437,0.604113,0.303651,-0.130818,8.517835
5091,-1.780013,1.342188,-0.999774,-0.712227,-0.931693,1.252429,-0.510884,-0.430045,-0.959317
908,1.380484,1.755799,-1.158839,-1.242349,1.378111,-0.42871,-0.329769,0.370161,1.025546
1465,-0.349198,0.785511,-0.149336,0.872303,-0.380898,-0.440741,0.109254,0.22636,6.969016
1203,1.413534,-0.713509,0.133989,1.308999,-0.850894,-1.706803,-0.31209,-0.089755,-7.614353
