,x1,x2,x4,x5,x6,x9,y
34966,1.39873,-12.6397,-6.31987,0.286734,-15.7183,364.227,-14.3196
29230,-3.20255,-13.5524,-6.7762,-0.81644,-12.8169,223.993,-16.0195
4508,-4.59568,-12.914,-2.29784,0.158231,-9.62196,435.945,-14.2176
16303,-3.60517,-13.1544,-1.80259,-0.591473,-5.27194,247.158,-8.87711
2767,-2.69801,-14.2426,-1.349,-0.679617,-0.130311,411.426,-2.82832
14275,-0.242366,-10.6569,-5.32847,-0.192943,-15.5378,187.585,-15.7802
1796,3.55705,-13.8308,1.77852,0.609615,1.44715,373.118,1.77852
39487,-4.76779,-12.2641,-2.3839,-0.227577,-7.05389,436.521,-11.8217
36570,1.4348,-13.0602,-6.53008,-0.809164,-18.2368,438.041,-16.802
20850,-2.18295,-10.4465,-1.09147,0.61477,-4.66866,131.181,-1.09147
21455,0.811862,-11.5974,-5.7987,0.42932,-24.1351,439.896,-23.3232
15650,-0.526262,-13.7055,-0.263131,-0.578164,-0.682655,473.943,-1.20892
10849,-1.9954,-11.0355,-5.51777,-0.575366,-27.1369,258.723,-29.1323
12037,4.25104,-14.4072,2.12552,0.147344,9.34641,251.156,2.12552
16196,0.132009,-14.3383,-7.16914,-0.340404,-10.7553,192.335,-10.6233
32354,-2.51969,-12.9187,-6.45934,-0.330706,-15.723,128.151,-18.2427
10887,-2.25736,-11.2365,-1.12868,-0.181522,-4.73796,325.612,-6.99532
34225,-4.47356,-11.4679,-5.73394,0.843359,-14.5947,477.556,-2.23678
14815,-0.179146,-10.9237,-0.089573,-0.541412,-0.410835,451.92,-0.589981
25101,-2.77909,-11.1466,-5.57332,-0.708917,-7.61822,374.676,-10.3973
12181,-0.902257,-13.5677,-0.451129,0.102135,-1.13553,456.52,-2.03778
37993,0.999003,-10.3421,-5.17103,0.109462,-7.49063,213.588,-6.49163
11665,-4.6848,-13.8268,-2.3424,0.896019,-4.89743,254.63,-2.3424
2757,-3.82727,-12.6386,-1.91364,-0.920981,-1.94292,344.813,-5.77019
20779,3.40932,-10.1557,-5.07784,0.245541,-5.12173,429.7,-1.71241
465,1.03871,-12.1009,-6.05044,-0.486937,-1.79527,398.919,-0.756557
18335,4.01237,-12.802,2.00618,0.704942,1.78758,173.734,2.00618
34523,-2.20358,-14.9004,-7.45018,0.20068,-28.4575,272.797,-30.661
36849,-2.62867,-11.4613,-5.73064,-0.853638,-17.6473,120.691,-20.276
5288,-0.949063,-14.8704,-7.43519,0.274786,-16.7853,294.765,-17.7343
10277,0.339303,-13.0591,-6.52956,-0.128988,-29.1997,243.745,-28.8604
16804,2.56691,-11.6779,-5.83893,-0.727989,-21.148,368.902,-18.5811
33807,-1.25135,-14.8942,-7.44711,-0.144731,-6.61577,355.248,-7.86712
34347,-0.960298,-10.3322,-0.480149,-0.433339,-1.06526,308.849,-2.02556
20713,-1.6389,-14.6124,-7.30618,0.804958,-30.5165,160.418,-0.81945
25797,0.701733,-14.1656,-7.08281,0.941391,-2.44248,215.942,0.350867
31984,3.63872,-13.4628,-6.7314,-0.64941,-6.25504,284.032,-2.61633
1457,1.89915,-12.1628,-6.08141,0.789651,-20.1901,183.707,0.949573
29083,-2.57707,-10.8918,-5.4459,-0.724912,-22.7358,466.112,-25.3128
15397,-0.811832,-12.7947,-0.405916,-0.555889,-0.719985,458.517,-1.53182
38118,1.89727,-12.8049,-6.40247,0.467692,-7.10941,335.629,-5.21215
18209,2.12967,-10.8917,1.06483,-0.557322,4.83656,229.296,1.0
16435,3.03385,-11.3743,-5.68714,0.227429,-6.4282,224.644,-3.39435
40177,1.60307,-14.6559,-7.32796,-0.868655,-32.5426,132.658,-30.9396
28366,-1.09398,-13.2199,-6.60994,0.390896,-29.6415,437.512,-30.7355
1895,2.98974,-10.8871,-5.44354,0.998613,-7.31742,443.621,1.49487
6698,-2.1522,-13.0679,-6.53393,-0.0494215,-4.96741,305.045,-7.11961
6605,-0.0833143,-11.7631,-0.0416572,0.443356,-0.12953,367.257,-0.212844
32503,3.53657,-11.1346,-5.56732,-0.442009,-3.31885,104.626,0.21772
1791,0.241833,-13.7607,0.120916,-0.78689,0.136488,300.159,0.120916
5128,4.01363,-14.0853,-7.04267,0.236442,-26.6763,431.454,-22.6627
30253,1.98745,-14.5028,-7.25142,0.387552,-26.8939,399.547,-24.9064
8561,3.07275,-14.2674,1.53638,0.832245,0.744829,225.393,1.0
30690,-4.14163,-14.0092,-2.07081,-0.4631,-3.4751,213.021,-7.61672
12536,-2.7045,-11.8438,-5.92188,-0.912563,-17.2976,441.621,-20.0021
23920,-1.52173,-13.8242,-6.91212,0.195483,-7.30613,231.606,-8.82786
15606,-1.63764,-10.8273,-5.41366,0.95662,-24.2675,416.035,-0.818822
32322,-0.0962612,-13.9672,-6.98362,0.216149,-30.1722,454.826,-30.2685
33701,-1.75195,-12.0914,-6.04568,0.881601,-19.7328,291.305,-0.875973
12266,0.320684,-13.2711,-6.63555,0.222458,-9.97746,101.433,-9.65678
4146,4.20384,-13.6413,2.10192,0.145042,3.4318,262.459,2.10192
7594,-0.535656,-11.9575,-5.97877,0.219,-9.27446,202.371,-9.81011
25323,0.954991,-13.1047,0.477495,-0.538229,1.15074,356.294,0.477495
13144,-2.53887,-10.2436,-5.1218,-0.227244,-20.4157,270.762,-22.9546
1786,-4.40639,-11.4836,-2.2032,-0.597461,-10.6552,337.909,-15.0616
3829,0.19279,-12.8399,-6.41993,0.705122,-25.7071,496.891,0.0963948
32175,-1.51832,-11.8248,-5.91239,-0.867851,-17.1752,363.867,-18.6935
5223,-4.62425,-10.7373,-5.36863,0.466295,-25.4204,168.813,-30.0447
30379,3.09366,-11.1708,-5.58539,-0.17249,-4.92078,222.149,-1.82713
11821,-2.52072,-14.0729,-7.03644,0.34466,-33.5463,288.094,-36.067
32648,-4.19554,-10.2719,-5.13593,-0.39911,-18.5652,345.837,-22.7607
34662,-2.14111,-10.9036,-5.4518,0.317807,-10.2461,404.9,-12.3872
3818,-1.63136,-11.9946,-5.99731,0.90761,-23.3071,186.983,-0.815682
27346,1.07475,-13.6327,-6.81634,0.872536,-29.2155,120.914,0.537375
4160,-0.594389,-10.8104,-5.4052,-0.457979,-18.8509,398.247,-19.4453
34494,-3.63442,-13.7977,-6.89884,-0.208165,-16.2466,188.366,-19.881
31266,-2.88428,-12.8634,-6.43168,-0.387261,-26.6889,181.863,-29.5732
37482,-4.49262,-11.23,-2.24631,-0.780261,-8.55769,460.652,-13.0503
13863,4.83897,-11.4993,2.41948,0.761507,10.1726,457.772,1.0
33067,0.719641,-11.355,0.359821,-0.661802,1.26778,199.691,0.359821
11550,-0.94947,-14.7763,-7.38813,-0.804745,-21.4452,431.065,-22.3947
5809,-4.87088,-10.5852,-5.29261,0.103018,-14.8918,229.923,-19.7627
4647,0.301333,-11.7176,-5.85882,-0.677502,-7.27816,424.391,-6.97683
8426,3.45883,-13.7974,1.72942,-0.41834,6.48193,199.668,1.0
40039,2.52614,-11.2591,-5.62955,-0.615232,-23.7614,473.118,-21.2353
17512,-3.89916,-14.9003,-7.45017,0.239592,-28.3019,257.485,-32.2011
19647,-1.43742,-10.9339,-0.718708,0.479308,-2.26203,145.655,-3.69945
26954,2.97138,-10.6373,1.48569,0.768309,1.38438,381.551,1.48569
29979,3.67874,-14.8275,-7.41375,0.879209,-34.6477,257.58,1.83937
26066,-2.65003,-12.2128,-1.32502,0.808413,-1.70267,309.108,-1.32502
28534,4.81681,-14.9956,-7.49781,0.913997,-16.604,160.204,2.40841
25086,-3.44805,-13.6548,-6.82742,0.872971,-22.3218,426.959,-1.72402
26803,-3.40362,-14.6125,-7.30626,-0.446664,-29.3568,228.012,-32.7604
36513,-0.385389,-10.4365,-0.192695,-0.0855162,-0.109725,125.483,-0.495114
22202,-3.92984,-13.2302,-6.61511,-0.385928,-4.6976,114.475,-8.62745
12290,-0.135337,-12.8332,-6.4166,0.526148,-26.9177,343.165,-0.0676687
26907,-1.59853,-11.6985,-5.84924,0.563616,-2.24422,261.516,-0.799265
16408,-4.43199,-12.0495,-6.02473,-0.568197,-26.1088,378.075,-30.5408
7779,-0.448058,-10.0211,-5.01057,-0.101715,-17.1482,424.452,-17.5962
16380,2.46026,-13.6213,-6.81067,-0.422817,-23.9163,211.824,-21.456
20267,4.09443,-14.1818,2.04722,-0.69111,0.268938,417.384,1.0
4640,1.50268,-12.301,0.75134,-0.687216,2.64801,296.139,0.75134
7586,2.56081,-13.4109,1.2804,-0.435533,0.184258,357.577,1.2804
9565,-4.75358,-13.79,-6.89501,0.70353,-1.74138,234.995,-2.37679
20024,-1.95276,-14.3082,-7.15411,-0.816284,-33.629,286.411,-35.5818
36383,-2.1207,-14.2903,-1.06035,-0.745142,-0.436068,278.571,-2.55677
20822,4.19335,-13.1562,2.09668,0.806133,1.20895,311.084,2.09668
10539,-4.21929,-12.1374,-6.06869,0.325257,-7.53572,124.16,-11.755
8768,-4.47546,-13.3254,-2.23773,0.29143,-1.28397,484.565,-5.75943
14501,-1.00674,-13.7355,-0.503368,-0.0147081,-1.13726,486.568,-2.144
16510,-0.693514,-13.1674,-6.58368,0.225441,-9.28097,111.893,-9.97448
1139,4.30761,-13.6251,-6.81257,-0.264057,-9.67493,289.719,-5.36732
11339,-1.99754,-10.7128,-5.35641,0.691017,-1.47804,382.507,-0.99877
18078,3.317,-11.4695,-5.73474,0.59872,-5.52151,369.093,1.6585
26620,2.30352,-12.6313,1.15176,0.400126,3.77436,100.43,1.15176
33134,-0.31039,-11.1711,-5.58553,0.460629,-0.624903,385.129,-0.935293
39058,4.98247,-12.8728,-6.43641,0.301286,-19.9265,450.358,-14.944
21910,0.466399,-10.162,-5.081,-0.0768368,-17.9568,106.05,-17.4904
36874,-1.28291,-12.3371,-6.16857,0.464496,-19.7335,493.819,-21.0165
11645,-1.17929,-13.5501,-6.77504,-0.313417,-0.0980109,121.537,-1.2773
5908,-2.83139,-10.0074,-5.00371,0.283781,-6.64686,425.192,-9.47825
10665,-3.05218,-14.4745,-1.52609,0.0495154,-0.352434,411.214,-3.40462
40465,-2.67265,-11.4322,-5.7161,-0.340943,-16.9481,385.617,-19.6207
26363,4.01795,-10.7711,2.00898,0.366247,9.16323,468.684,2.00898
38214,-0.214629,-13.9887,-6.99436,0.998254,-25.1832,199.095,-0.107315
19598,-1.55808,-14.2692,-0.779038,-0.353867,-0.988249,407.551,-2.54632
33962,3.47877,-14.9154,-7.45772,0.32501,-19.0875,263.611,-15.6087
9876,0.340405,-12.1893,0.170202,-0.423891,0.434401,260.338,0.170202
6526,-4.15644,-10.2764,-5.13822,0.134715,-2.88042,133.872,-7.03686
20395,4.61537,-13.3478,-6.67391,-0.644435,-5.24367,343.957,-0.628295
27484,2.5464,-12.4319,-6.21595,0.0487193,-24.8175,283.643,-22.2711
25292,-3.66625,-12.6503,-6.32513,-0.0351317,-9.2056,124.071,-12.8719
2741,-0.164322,-10.6935,-5.34673,-0.738118,-5.76609,343.163,-5.93041
7821,2.33643,-13.4046,-6.70231,0.771873,-14.0855,178.688,1.16822
38784,-2.23661,-12.5956,-6.2978,0.40155,-27.5404,487.553,-29.777
4819,-3.66078,-10.7284,-1.83039,0.764978,-9.01662,264.508,-1.83039
11270,3.26333,-11.8211,-5.91056,0.165693,-16.4894,328.074,-13.2261
25915,-3.92587,-13.0479,-6.52395,-0.945687,-15.53,141.854,-19.4559
17859,4.41353,-13.0586,-6.52932,0.171571,-23.3257,191.785,-18.9122
36229,-1.75025,-11.4897,-5.74483,-0.419689,-25.6295,474.304,-27.3797
13082,-4.35642,-14.2351,-7.11756,0.93641,-31.1184,173.111,-2.17821
13053,-1.88726,-13.3931,-6.69653,0.855874,-9.33962,277.585,-0.943629
36856,-0.700576,-13.6102,-0.350288,0.167356,-0.48775,318.146,-1.18833
38716,-2.27707,-14.3756,-7.18778,0.96847,-19.6905,116.739,-1.13853
7029,-2.40008,-10.0613,-5.03066,-0.300914,-19.003,120.237,-21.4031
7831,4.14083,-14.0099,-7.00496,-0.0187078,-33.3906,438.977,-29.2498
32814,0.136972,-13.7137,0.0684859,0.246257,0.254092,286.718,0.0684859
34144,3.72165,-10.1794,1.86083,0.921809,7.6021,234.918,1.86083
10592,-1.02592,-11.9727,-5.98635,-0.765023,-16.9743,388.99,-18.0002
35138,-0.265895,-13.7567,-6.87837,-0.57539,-13.5416,470.241,-13.8075
21420,-3.12429,-12.2214,-1.56215,0.607512,-5.24053,448.147,-1.56215
30885,4.06372,-14.0094,-7.0047,0.287821,-10.7655,122.083,-6.70181
4548,-1.22645,-11.6318,-5.8159,0.278736,-11.6281,148.33,-12.8546
16231,-3.72734,-11.8849,-5.94244,0.916577,-14.6153,273.914,-1.86367
40306,-2.34913,-12.6517,-6.32587,0.934015,-7.01592,328.489,-1.17456
11438,2.99779,-10.1246,-5.0623,-0.810646,-17.1192,101.185,-14.1214
8845,0.644892,-11.5278,-5.76391,0.898214,-8.34103,428.312,0.322446
15265,-4.22281,-12.0207,-6.01036,-0.0762531,-25.8792,165.901,-30.102
37138,-3.17005,-13.7987,-6.89936,0.950422,-4.19509,231.074,-1.58502
8445,2.49433,-13.7285,-6.86424,0.581343,-21.3149,484.516,1.24716
32759,-3.86016,-12.7857,-1.93008,0.595343,-2.9891,220.688,-1.93008
37860,-1.48493,-11.6321,-5.81607,0.475508,-10.677,458.314,-12.1619
15418,1.34164,-12.338,-6.16899,-0.0417857,-8.08237,346.704,-6.74073
30597,-4.15558,-13.2581,-6.62904,-0.687319,-27.2168,243.561,-31.3724
8362,0.320286,-14.4604,-7.23022,-0.103993,-31.1028,280.236,-30.7825
6271,4.60981,-14.7466,-7.37329,-0.393675,-1.14501,433.887,2.30491
39713,1.32684,-11.3973,-5.69867,0.933748,-22.1543,460.571,0.663418
8537,2.80496,-13.3182,1.40248,0.564619,0.150809,452.181,1.40248
2531,-2.16355,-12.6568,-6.32838,-0.0667981,-19.267,258.847,-21.4305
8586,-3.93162,-14.8241,-7.41207,0.764192,-29.6957,181.809,-1.96581
4771,-1.69044,-13.3044,-6.65219,-0.644089,-11.9092,183.364,-13.5996
20305,1.31578,-10.7962,-5.3981,0.304536,-7.51092,281.821,-6.19514
30498,1.46679,-14.6804,-7.3402,-0.635014,-28.7728,408.911,-27.306
32434,-3.13506,-12.7958,-6.39788,0.99168,-17.112,439.938,-1.56753
14555,-4.38326,-10.7175,-5.35875,-0.594667,-0.0212522,491.206,-4.40451
35977,4.54738,-13.183,-6.59148,0.298997,-4.16728,379.125,0.380102
36854,-1.73043,-10.1527,-5.07636,-0.854739,-14.9013,282.916,-16.6317
31481,1.10953,-12.6492,-6.32461,0.982584,-17.26,378.613,0.554765
8435,-0.375278,-10.0118,-5.0059,0.263249,-1.69017,162.088,-2.06545
24420,4.40959,-14.2481,-7.12405,0.839492,-7.39912,136.595,2.20479
37930,-0.830339,-11.523,-5.76152,-0.000530698,-17.349,360.031,-18.1794
4564,-3.92195,-12.8792,-6.43959,-0.138572,-2.84897,447.262,-6.77092
6491,-4.98863,-14.7464,-2.49432,0.807409,-3.25106,180.716,-2.49432
34423,1.99208,-12.3136,-6.15682,0.959111,-21.9644,369.91,0.996041
30594,-4.68605,-11.5604,-5.78022,0.851154,-16.5181,498.682,-2.34303
4203,0.0680325,-11.5733,-5.78667,0.471732,-12.6799,144.534,-12.6119
2269,-4.91886,-14.9837,-7.49185,0.321126,-32.6317,344.522,-37.5505
17382,2.46024,-14.2873,-7.14363,-0.0889907,-21.9566,391.295,-19.4964
5377,3.61477,-11.9989,1.80739,-0.683085,7.1553,176.336,1.80739
35114,4.62856,-10.043,-5.0215,-0.923966,-20.6886,145.902,-16.0601
36606,-1.07535,-12.6782,-6.3391,-0.816545,-26.28,464.868,-27.3554
22206,2.2063,-11.3967,-5.69834,0.632143,-16.4914,440.288,1.10315
35100,-3.06618,-12.6219,-6.31093,-0.251884,-16.3739,414.761,-19.4401
7112,-2.42355,-14.2422,-7.1211,-0.154753,-11.4216,348.099,-13.8451
37954,3.18198,-11.8293,1.59099,0.79467,1.8907,465.661,1.59099
7431,4.90609,-14.9095,-7.45475,-0.637528,-25.6051,465.389,-20.699
21202,1.41199,-12.1548,-6.07741,-0.638412,-8.75294,334.222,-7.34095
17837,0.849144,-12.5965,-6.29823,-0.198487,-26.1615,397.583,-25.3123
25201,2.53072,-10.7885,-5.39426,-0.358467,-23.6553,167.735,-21.1246
25910,1.11827,-11.7249,0.559136,0.173044,0.17803,267.093,0.559136
19021,-1.87188,-12.093,-6.04648,0.914564,-14.1635,251.882,-0.935938
11204,-0.433652,-10.8664,-5.43321,0.12855,-10.0772,297.766,-10.5109
23773,4.05223,-10.5531,-5.27655,-0.656541,-8.95077,216.66,-4.89854
14129,-0.127814,-11.692,-0.063907,-0.338806,-0.175542,449.949,-0.303356
2980,4.83869,-10.4045,-5.20223,-0.733503,-22.4587,294.704,-17.62
16461,-0.845462,-11.3911,-5.69553,0.302532,-2.98261,292.822,-3.82807
26843,-0.255678,-11.8696,-5.93479,-0.901824,-21.2648,301.592,-21.5205
36903,-4.2017,-10.8479,-5.42396,-0.361059,-8.91972,423.615,-13.1214
23553,1.19702,-11.573,-5.78651,-0.40525,-17.3026,219.054,-16.1056
30910,-2.28235,-10.2644,-5.13221,0.530163,-9.72718,358.528,-1.14118
11153,-4.22375,-11.2055,-5.60274,-0.58685,-10.9684,232.983,-15.1922
4550,-1.57774,-13.1651,-0.788872,0.51767,-2.07827,333.477,-0.788872
25747,-1.30896,-14.8074,-0.654479,0.602126,-0.0464831,276.812,-0.654479
14944,-0.768215,-14.2909,-0.384107,0.92433,-1.05118,456.255,-0.384107
1395,-1.39619,-14.741,-7.37048,-0.126353,-4.9423,382.325,-6.33849
10276,2.08054,-12.7109,1.04027,0.951325,0.694855,137.115,1.0
30156,2.2255,-14.9694,1.11275,0.10026,1.44025,254.582,1.11275
28213,4.71317,-11.6406,-5.8203,0.916508,-18.9882,430.314,2.35659
18221,-0.0919146,-13.7242,-6.86212,-0.924167,-19.3019,357.927,-19.3938
24447,-1.55429,-14.194,-0.777143,-0.808687,-3.80828,147.557,-5.36256
10747,0.145743,-10.0368,0.0728713,0.929598,0.340448,156.529,0.0728713
22363,3.49969,-12.6662,-6.33309,-0.737897,-25.2976,249.992,-21.7979
21382,0.448703,-14.99,0.224351,-0.391686,0.820889,356.715,0.224351
6759,-0.51193,-13.0818,-6.54089,-0.594009,-29.1677,104.296,-29.6796
21609,-3.26991,-11.7943,-5.89717,-0.812577,-15.1975,144.411,-18.4674
19197,-4.99301,-13.5159,-2.4965,0.697602,-2.49899,257.17,-2.4965
5325,1.82932,-10.2002,0.91466,-0.0344939,3.305,287.195,0.91466
26971,-2.00125,-12.9758,-1.00062,-0.910864,-4.12921,288.731,-6.13046
8707,-4.71219,-14.7933,-2.3561,0.511763,-4.15704,164.56,-2.3561
20846,4.47894,-10.8846,2.23947,0.295848,4.29439,301.498,2.23947
29392,1.27422,-14.1904,-7.09522,-0.447003,-29.4269,347.11,-28.1527
24862,-2.09558,-11.9537,-5.97685,-0.203318,-9.6976,461.365,-11.7932
28959,1.49532,-13.1921,-6.59607,0.549257,-22.5286,114.179,0.747658
34004,2.41131,-10.1942,-5.09711,-0.481062,-16.0471,235.279,-13.6358
39785,-2.4764,-10.3432,-1.2382,0.475966,-5.49443,309.077,-7.97083
23969,-4.16708,-14.8687,-7.43434,0.635063,-29.0415,236.987,-2.08354
23812,2.48564,-14.7277,-7.36384,0.137849,-16.3598,366.921,-13.8741
31080,-1.57488,-14.2115,-7.10576,0.686645,-23.0348,110.349,-0.787439
31446,-3.5312,-10.7935,-5.39676,-0.0423436,-25.8317,228.696,-29.3629
18773,-1.03677,-13.4464,-6.72321,-0.838535,-18.7504,484.143,-19.7871
25813,4.04247,-10.2558,-5.12788,-0.828955,-18.7881,308.731,-14.7456
27982,3.27887,-13.9745,1.63944,0.268203,0.683388,425.053,1.63944
18365,-1.7713,-10.4807,-5.24033,0.0524057,-24.9675,349.787,-26.7388
18611,-4.74732,-12.0496,-2.37366,0.44374,-3.1962,116.433,-7.94352
25099,-4.48216,-10.325,-5.16249,0.357491,-3.77418,140.727,-8.25634
5326,1.29156,-12.0765,-6.03823,0.412585,-1.19731,440.248,0.0942446
33727,4.58265,-14.3822,-7.19108,0.944186,-11.0245,425.114,2.29132
15267,4.1151,-14.5818,-7.29088,0.610378,-19.4869,286.648,2.05755
740,-4.1016,-14.237,-7.11848,-0.377581,-0.85168,282.411,-4.95328
32483,-3.62629,-13.2869,-6.64346,-0.0291535,-16.8118,468.328,-20.4381
19348,-1.95825,-10.2062,-0.979124,0.839902,-4.72344,197.127,-0.979124
19518,3.11352,-14.3209,1.55676,0.0387182,1.79733,312.948,1.55676
12782,2.99403,-11.464,-5.73202,0.204674,-11.4592,213.293,-8.46513
27368,2.04782,-13.7185,-6.85926,0.277385,-22.1111,419.204,-20.0633
16550,-4.44283,-10.7946,-5.39728,-0.4937,-11.8618,434.908,-16.3046
7183,-2.84409,-11.4377,-5.71885,-0.0240301,-16.3301,208.797,-19.1742
26635,-4.53785,-10.1728,-5.08639,0.92243,-12.7118,436.959,-2.26892
8413,-1.1255,-11.5768,-0.56275,0.716321,-1.41043,470.574,-0.56275
12538,1.36172,-10.7524,-5.3762,0.969765,-24.8266,153.458,0.680858
13511,3.5053,-12.1352,-6.06762,0.908231,-7.122,160.954,1.75265
17515,-1.35812,-12.9844,-0.67906,0.0249758,-1.53912,374.197,-2.89724
37761,-4.45452,-12.1191,-6.05954,0.491205,-29.2808,316.67,-33.7353
10333,-0.457926,-10.8763,-5.43815,0.28271,-8.78757,186.747,-9.2455
27198,2.78936,-10.0647,-5.03236,-0.849863,-24.7395,180.065,-21.9501
22227,2.99247,-10.0707,-5.03533,0.965999,-3.01779,463.702,1.49623
13542,4.45221,-14.7469,2.22611,0.997864,1.47348,261.637,2.22611
23731,1.67916,-14.6059,-7.30295,-0.891004,-21.2057,382.48,-19.5266
5533,3.97801,-10.2691,-5.13455,0.128548,-25.5942,462.832,-21.6162
37794,2.4166,-12.8831,-6.44154,-0.707573,-27.3681,206.16,-24.9515
20419,1.16622,-12.9558,0.583112,-0.68167,2.09907,299.574,0.583112
33647,-0.284791,-10.9822,-5.49111,-0.763831,-12.5468,216.076,-12.8315
29949,-2.99096,-11.2323,-5.61614,-0.23172,-27.4648,202.176,-30.4557
28028,-0.579975,-10.2952,-0.289987,-0.190081,-0.427805,366.904,-1.00778
13685,-0.560797,-10.3169,-5.15845,0.351384,-24.8973,202.245,-25.4581
2055,2.11581,-10.0965,-5.04825,-0.112638,-21.9276,191.108,-19.8118
1864,-3.99379,-10.0018,-5.00089,0.577669,-14.4951,156.065,-1.99689
